Well,Row,Column,Cmpd,Conc
A01,A,1,TOTB,0
A02,A,2,Cmpd01,10
A03,A,3,Cmpd01,5
A04,A,4,Cmpd01,2
A05,A,5,Cmpd01,1
A06,A,6,Cmpd01,0.5
A07,A,7,Cmpd01,0.25
A08,A,8,Cmpd01,0.1
A09,A,9,Cmpd01,0.05
A10,A,10,Cmpd01,0.03
A11,A,11,Cmpd01,0.024
A12,A,12,Cmpd01,0.018
A13,A,13,Cmpd01,0.012
A14,A,14,Cmpd01,0.009
A15,A,15,Cmpd01,0.006
A16,A,16,Cmpd01,0.003
A17,A,17,Cmpd01,0.002
A18,A,18,Cmpd01,0.001
A19,A,19,Cmpd01,9e-4
A20,A,20,Cmpd01,6e-4
A21,A,21,Cmpd01,4.5e-4
A22,A,22,Cmpd01,3e-4
A23,A,23,Cmpd01,1.5e-4
A24,A,24,TOTB,0
A25,A,25,NSB,0
A26,A,26,Cmpd01,10
A27,A,27,Cmpd01,5
A28,A,28,Cmpd01,2
A29,A,29,Cmpd01,1
A30,A,30,Cmpd01,0.5
A31,A,31,Cmpd01,0.25
A32,A,32,Cmpd01,0.1
A33,A,33,Cmpd01,0.05
A34,A,34,Cmpd01,0.03
A35,A,35,Cmpd01,0.024
A36,A,36,Cmpd01,0.018
A37,A,37,Cmpd01,0.012
A38,A,38,Cmpd01,0.009
A39,A,39,Cmpd01,0.006
A40,A,40,Cmpd01,0.003
A41,A,41,Cmpd01,0.002
A42,A,42,Cmpd01,0.001
A43,A,43,Cmpd01,9e-4
A44,A,44,Cmpd01,6e-4
A45,A,45,Cmpd01,4.5e-4
A46,A,46,Cmpd01,3e-4
A47,A,47,Cmpd01,1.5e-4
A48,A,48,NSB,0
B01,B,1,TOTB,0
B02,B,2,Cmpd02,30
B03,B,3,Cmpd02,15
B04,B,4,Cmpd02,6
B05,B,5,Cmpd02,3
B06,B,6,Cmpd02,1.5
B07,B,7,Cmpd02,0.75
B08,B,8,Cmpd02,0.3
B09,B,9,Cmpd02,0.15
B10,B,10,Cmpd02,0.09
B11,B,11,Cmpd02,0.072
B12,B,12,Cmpd02,0.054
B13,B,13,Cmpd02,0.036
B14,B,14,Cmpd02,0.027
B15,B,15,Cmpd02,0.018
B16,B,16,Cmpd02,0.009
B17,B,17,Cmpd02,0.006
B18,B,18,Cmpd02,0.003
B19,B,19,Cmpd02,0.0027
B20,B,20,Cmpd02,0.0018
B21,B,21,Cmpd02,0.00135
B22,B,22,Cmpd02,9e-4
B23,B,23,Cmpd02,4.5e-4
B24,B,24,TOTB,0
B25,B,25,NSB,0
B26,B,26,Cmpd02,30
B27,B,27,Cmpd02,15
B28,B,28,Cmpd02,6
B29,B,29,Cmpd02,3
B30,B,30,Cmpd02,1.5
B31,B,31,Cmpd02,0.75
B32,B,32,Cmpd02,0.3
B33,B,33,Cmpd02,0.15
B34,B,34,Cmpd02,0.09
B35,B,35,Cmpd02,0.072
B36,B,36,Cmpd02,0.054
B37,B,37,Cmpd02,0.036
B38,B,38,Cmpd02,0.027
B39,B,39,Cmpd02,0.018
B40,B,40,Cmpd02,0.009
B41,B,41,Cmpd02,0.006
B42,B,42,Cmpd02,0.003
B43,B,43,Cmpd02,0.0027
B44,B,44,Cmpd02,0.0018
B45,B,45,Cmpd02,0.00135
