;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
8	1	 A01	M	5234.28
8	1	 A02	M	4806.26
8	1	 A03	M	4811.54
8	1	 A04	M	4862.52
8	1	 A05	M	4673.54
8	1	 A06	M	4710.75
8	1	 A07	M	5527.25
8	1	 A08	M	4432.47
8	1	 A09	M	5021.65
8	1	 A10	M	5013.09
8	1	 A11	M	5096.59
8	1	 A12	M	4446.52
8	1	 A13	M	5062.90
8	1	 A14	M	4210.96
8	1	 A15	M	5114.41
8	1	 A16	M	4810.46
8	1	 A17	M	5066.78
8	1	 A18	M	4144.05
8	1	 A19	M	4809.00
8	1	 A20	M	4210.48
8	1	 A21	M	5342.17
8	1	 A22	M	4622.17
8	1	 A23	M	4813.32
8	1	 A24	M	5268.67
8	1	 A25	M	5184.37
8	1	 A26	M	5016.37
8	1	 A27	M	4643.45
8	1	 A28	M	4985.09
8	1	 A29	M	5487.44
8	1	 A30	M	5621.27
8	1	 A31	M	5482.13
8	1	 A32	M	5463.67
8	1	 A33	M	5244.51
8	1	 A34	M	4498.65
8	1	 A35	M	4850.71
8	1	 A36	M	4375.54
8	1	 A37	M	5776.04
8	1	 A38	M	4522.08
8	1	 A39	M	4898.07
8	1	 A40	M	4647.81
8	1	 A41	M	4929.04
8	1	 A42	M	4785.45
8	1	 A43	M	4783.50
8	1	 A44	M	5486.98
8	1	 A45	M	5850.27
8	1	 A46	M	4980.32
8	1	 A47	M	5782.23
8	1	 A48	M	4631.60
8	1	 B01	M	4560.92
8	1	 B02	M	4315.29
8	1	 B03	M	4891.54
8	1	 B04	M	4702.38
8	1	 B05	M	5504.94
8	1	 B06	M	4903.41
8	1	 B07	M	5259.93
8	1	 B08	M	4299.31
8	1	 B09	M	5094.61
8	1	 B10	M	4910.83
8	1	 B11	M	5481.76
8	1	 B12	M	4789.46
8	1	 B13	M	4786.38
8	1	 B14	M	4437.87
8	1	 B15	M	4847.99
8	1	 B16	M	4843.39
8	1	 B17	M	4491.61
8	1	 B18	M	4567.78
8	1	 B19	M	5131.31
8	1	 B20	M	4686.36
8	1	 B21	M	4938.25
8	1	 B22	M	4628.27
8	1	 B23	M	4563.88
8	1	 B24	M	4782.41
8	1	 B25	M	5582.90
8	1	 B26	M	4966.66
8	1	 B27	M	4980.08
8	1	 B28	M	5027.85
8	1	 B29	M	4882.56
8	1	 B30	M	4709.47
8	1	 B31	M	5323.54
8	1	 B32	M	4853.75
8	1	 B33	M	5045.99
8	1	 B34	M	4700.46
8	1	 B35	M	5305.08
8	1	 B36	M	5208.11
8	1	 B37	M	5206.18
8	1	 B38	M	4618.00
8	1	 B39	M	4645.76
8	1	 B40	M	4858.41
8	1	 B41	M	4293.07
8	1	 B42	M	4914.44
8	1	 B43	M	4554.77
8	1	 B44	M	4667.62
8	1	 B45	M	4495.84
8	1	 B46	M	4556.22
8	1	 B47	M	4481.97
8	1	 B48	M	4557.86
8	1	 C01	M	4754.00
8	1	 C02	M	4671.38
8	1	 C03	M	4232.46
8	1	 C04	M	4784.81
8	1	 C05	M	4313.77
8	1	 C06	M	4555.81
8	1	 C07	M	4799.97
8	1	 C08	M	4509.29
8	1	 C09	M	4723.66
8	1	 C10	M	5151.66
8	1	 C11	M	5119.16
8	1	 C12	M	4462.83
8	1	 C13	M	4508.01
8	1	 C14	M	4998.17
8	1	 C15	M	4510.45
8	1	 C16	M	4954.39
8	1	 C17	M	4954.12
8	1	 C18	M	5244.21
8	1	 C19	M	4427.68
8	1	 C20	M	4535.01
8	1	 C21	M	5080.75
8	1	 C22	M	5545.21
8	1	 C23	M	4747.17
8	1	 C24	M	5097.52
8	1	 C25	M	5486.55
8	1	 C26	M	5471.14
8	1	 C27	M	4903.92
8	1	 C28	M	4891.58
8	1	 C29	M	5040.86
8	1	 C30	M	4931.22
8	1	 C31	M	5549.34
8	1	 C32	M	4852.03
8	1	 C33	M	5230.67
8	1	 C34	M	4833.09
8	1	 C35	M	4919.19
8	1	 C36	M	4995.91
8	1	 C37	M	4293.30
8	1	 C38	M	5020.32
8	1	 C39	M	5344.62
8	1	 C40	M	4870.30
8	1	 C41	M	4957.30
8	1	 C42	M	5081.88
8	1	 C43	M	5248.78
8	1	 C44	M	4691.36
8	1	 C45	M	4879.83
8	1	 C46	M	4846.44
8	1	 C47	M	4771.32
8	1	 C48	M	5502.88
8	1	 D01	M	5391.36
8	1	 D02	M	5443.69
8	1	 D03	M	4938.42
8	1	 D04	M	4200.76
8	1	 D05	M	4974.43
8	1	 D06	M	4733.93
8	1	 D07	M	4879.11
8	1	 D08	M	4702.53
8	1	 D09	M	4752.21
8	1	 D10	M	4661.24
8	1	 D11	M	4478.75
8	1	 D12	M	4903.40
8	1	 D13	M	5145.25
8	1	 D14	M	5276.43
8	1	 D15	M	5205.21
8	1	 D16	M	4677.31
8	1	 D17	M	4744.13
8	1	 D18	M	4966.39
8	1	 D19	M	4992.81
8	1	 D20	M	5137.55
8	1	 D21	M	5056.82
8	1	 D22	M	5297.58
8	1	 D23	M	4728.12
8	1	 D24	M	4892.07
8	1	 D25	M	5404.42
8	1	 D26	M	4848.38
8	1	 D27	M	5153.31
8	1	 D28	M	4924.43
8	1	 D29	M	6212.22
8	1	 D30	M	4936.46
8	1	 D31	M	5937.45
8	1	 D32	M	5257.35
8	1	 D33	M	5388.69
8	1	 D34	M	5455.50
8	1	 D35	M	5343.78
8	1	 D36	M	4459.73
8	1	 D37	M	4940.50
8	1	 D38	M	4731.43
8	1	 D39	M	4689.88
8	1	 D40	M	4728.69
8	1	 D41	M	4980.80
8	1	 D42	M	4654.98
8	1	 D43	M	5407.41
8	1	 D44	M	4758.23
8	1	 D45	M	4920.48
8	1	 D46	M	5147.64
8	1	 D47	M	4972.17
8	1	 D48	M	5225.38
8	1	 E01	M	5475.34
8	1	 E02	M	4751.34
8	1	 E03	M	4908.91
8	1	 E04	M	4805.55
8	1	 E05	M	4835.43
8	1	 E06	M	4903.79
8	1	 E07	M	5040.37
8	1	 E08	M	4485.58
8	1	 E09	M	4308.04
8	1	 E10	M	5035.00
8	1	 E11	M	5163.29
8	1	 E12	M	4913.95
8	1	 E13	M	5055.04
8	1	 E14	M	4993.92
8	1	 E15	M	5190.64
8	1	 E16	M	4739.19
8	1	 E17	M	4523.74
8	1	 E18	M	4598.81
8	1	 E19	M	4821.42
8	1	 E20	M	4754.20
8	1	 E21	M	4916.24
8	1	 E22	M	4704.91
8	1	 E23	M	4953.22
8	1	 E24	M	5010.68
8	1	 E25	M	4832.89
8	1	 E26	M	5132.35
8	1	 E27	M	5405.18
8	1	 E28	M	4956.84
8	1	 E29	M	5273.02
8	1	 E30	M	5204.12
8	1	 E31	M	5236.01
8	1	 E32	M	5104.52
8	1	 E33	M	5144.71
8	1	 E34	M	5156.93
8	1	 E35	M	5089.39
8	1	 E36	M	4999.94
8	1	 E37	M	5155.16
8	1	 E38	M	4646.21
8	1	 E39	M	4439.56
8	1	 E40	M	4719.40
8	1	 E41	M	4700.43
8	1	 E42	M	4602.79
8	1	 E43	M	4582.24
8	1	 E44	M	5245.36
8	1	 E45	M	4316.11
8	1	 E46	M	4662.48
8	1	 E47	M	4362.40
8	1	 E48	M	4412.10
8	1	 F01	M	4703.02
8	1	 F02	M	4834.80
8	1	 F03	M	4695.52
8	1	 F04	M	4621.76
8	1	 F05	M	4831.96
8	1	 F06	M	4553.07
8	1	 F07	M	4832.66
8	1	 F08	M	4668.51
8	1	 F09	M	5623.07
8	1	 F10	M	4906.17
8	1	 F11	M	4882.60
8	1	 F12	M	5058.96
8	1	 F13	M	4957.87
8	1	 F14	M	4627.24
8	1	 F15	M	4885.17
8	1	 F16	M	4965.08
8	1	 F17	M	4584.42
8	1	 F18	M	5574.53
8	1	 F19	M	4941.01
8	1	 F20	M	4740.61
8	1	 F21	M	5030.41
8	1	 F22	M	5125.96
8	1	 F23	M	4926.06
8	1	 F24	M	5116.76
8	1	 F25	M	5083.35
8	1	 F26	M	4925.09
8	1	 F27	M	5000.83
8	1	 F28	M	4877.26
8	1	 F29	M	4874.08
8	1	 F30	M	5266.01
8	1	 F31	M	5197.75
8	1	 F32	M	4812.76
8	1	 F33	M	4923.13
8	1	 F34	M	5217.08
8	1	 F35	M	4966.46
8	1	 F36	M	4533.13
8	1	 F37	M	4841.18
8	1	 F38	M	4560.12
8	1	 F39	M	4684.85
8	1	 F40	M	4716.00
8	1	 F41	M	4873.85
8	1	 F42	M	5035.94
8	1	 F43	M	4933.50
8	1	 F44	M	5258.63
8	1	 F45	M	4557.99
8	1	 F46	M	4747.29
8	1	 F47	M	4561.44
8	1	 F48	M	4848.96
8	1	 G01	M	5432.57
8	1	 G02	M	5078.41
8	1	 G03	M	4673.56
8	1	 G04	M	5372.77
8	1	 G05	M	4618.72
8	1	 G06	M	4365.00
8	1	 G07	M	5052.93
8	1	 G08	M	4955.87
8	1	 G09	M	4679.68
8	1	 G10	M	5052.03
8	1	 G11	M	5131.54
8	1	 G12	M	5107.34
8	1	 G13	M	5027.26
8	1	 G14	M	4875.67
8	1	 G15	M	5246.49
8	1	 G16	M	4717.58
8	1	 G17	M	4763.69
8	1	 G18	M	5437.15
8	1	 G19	M	4705.73
8	1	 G20	M	5097.20
8	1	 G21	M	5203.32
8	1	 G22	M	5341.77
8	1	 G23	M	5168.15
8	1	 G24	M	5735.43
8	1	 G25	M	5328.25
8	1	 G26	M	5122.83
8	1	 G27	M	4970.18
8	1	 G28	M	5109.48
8	1	 G29	M	4861.20
8	1	 G30	M	5238.01
8	1	 G31	M	4922.44
8	1	 G32	M	5320.26
8	1	 G33	M	4773.28
8	1	 G34	M	4881.31
8	1	 G35	M	5225.36
8	1	 G36	M	5097.61
8	1	 G37	M	5299.87
8	1	 G38	M	4738.77
8	1	 G39	M	4992.46
8	1	 G40	M	5103.84
8	1	 G41	M	5038.83
8	1	 G42	M	4999.88
8	1	 G43	M	4487.91
8	1	 G44	M	4607.03
8	1	 G45	M	4982.94
8	1	 G46	M	4473.90
8	1	 G47	M	4578.46
8	1	 G48	M	4744.88
8	1	 H01	M	4824.75
8	1	 H02	M	5123.10
8	1	 H03	M	5312.81
8	1	 H04	M	5193.79
8	1	 H05	M	4809.42
8	1	 H06	M	4704.03
8	1	 H07	M	4875.46
8	1	 H08	M	5121.79
8	1	 H09	M	4956.30
8	1	 H10	M	4852.60
8	1	 H11	M	5064.63
8	1	 H12	M	5252.73
8	1	 H13	M	5332.95
8	1	 H14	M	5029.21
8	1	 H15	M	5670.94
8	1	 H16	M	5291.90
8	1	 H17	M	5626.15
8	1	 H18	M	5000.43
8	1	 H19	M	5031.81
8	1	 H20	M	4812.33
8	1	 H21	M	4857.67
8	1	 H22	M	5021.97
8	1	 H23	M	4692.87
8	1	 H24	M	4818.06
8	1	 H25	M	5133.63
8	1	 H26	M	5427.44
8	1	 H27	M	5740.32
8	1	 H28	M	5869.26
8	1	 H29	M	5559.84
8	1	 H30	M	5410.29
8	1	 H31	M	5311.28
8	1	 H32	M	5438.85
8	1	 H33	M	5037.17
8	1	 H34	M	5288.22
8	1	 H35	M	5436.99
8	1	 H36	M	5003.50
8	1	 H37	M	4661.31
8	1	 H38	M	4637.79
8	1	 H39	M	4989.00
8	1	 H40	M	4536.21
8	1	 H41	M	5258.79
8	1	 H42	M	5090.38
8	1	 H43	M	5184.58
8	1	 H44	M	5137.85
8	1	 H45	M	4386.32
8	1	 H46	M	4861.89
8	1	 H47	M	5177.65
8	1	 H48	M	4926.60
8	1	 I01	M	4984.48
8	1	 I02	M	4638.12
8	1	 I03	M	4800.37
8	1	 I04	M	4580.09
8	1	 I05	M	4439.29
8	1	 I06	M	4925.85
8	1	 I07	M	4548.83
8	1	 I08	M	4926.57
8	1	 I09	M	4446.11
8	1	 I10	M	5168.80
8	1	 I11	M	4955.06
8	1	 I12	M	4763.40
8	1	 I13	M	5062.88
8	1	 I14	M	5176.32
8	1	 I15	M	5140.24
8	1	 I16	M	4828.74
8	1	 I17	M	4812.45
8	1	 I18	M	5268.63
8	1	 I19	M	5060.44
8	1	 I20	M	5116.72
8	1	 I21	M	4756.37
8	1	 I22	M	5113.27
8	1	 I23	M	5455.49
8	1	 I24	M	5338.22
8	1	 I25	M	5453.77
8	1	 I26	M	4964.36
8	1	 I27	M	5029.88
8	1	 I28	M	4636.38
8	1	 I29	M	5561.94
8	1	 I30	M	5216.40
8	1	 I31	M	5579.87
8	1	 I32	M	5124.22
8	1	 I33	M	5252.29
8	1	 I34	M	5630.14
8	1	 I35	M	5157.00
8	1	 I36	M	5432.10
8	1	 I37	M	4851.03
8	1	 I38	M	4840.55
8	1	 I39	M	4652.18
8	1	 I40	M	5250.88
8	1	 I41	M	5367.12
8	1	 I42	M	4938.21
8	1	 I43	M	4944.93
8	1	 I44	M	4960.17
8	1	 I45	M	4745.22
8	1	 I46	M	5005.47
8	1	 I47	M	4653.40
8	1	 I48	M	4739.87
8	1	 J01	M	4908.30
8	1	 J02	M	4480.30
8	1	 J03	M	4464.29
8	1	 J04	M	4623.30
8	1	 J05	M	4448.39
8	1	 J06	M	4316.85
8	1	 J07	M	4630.55
8	1	 J08	M	5031.40
8	1	 J09	M	4902.93
8	1	 J10	M	5620.36
8	1	 J11	M	4983.61
8	1	 J12	M	5040.32
8	1	 J13	M	4532.18
8	1	 J14	M	4813.54
8	1	 J15	M	5220.98
8	1	 J16	M	4887.29
8	1	 J17	M	4810.49
8	1	 J18	M	5156.22
8	1	 J19	M	5077.17
8	1	 J20	M	5002.86
8	1	 J21	M	4747.45
8	1	 J22	M	4874.08
8	1	 J23	M	4899.90
8	1	 J24	M	5166.64
8	1	 J25	M	5098.34
8	1	 J26	M	5085.01
8	1	 J27	M	4945.80
8	1	 J28	M	5171.31
8	1	 J29	M	5275.42
8	1	 J30	M	5304.78
8	1	 J31	M	5199.19
8	1	 J32	M	4877.66
8	1	 J33	M	4904.56
8	1	 J34	M	5454.25
8	1	 J35	M	4873.78
8	1	 J36	M	5451.32
8	1	 J37	M	4646.79
8	1	 J38	M	4952.23
8	1	 J39	M	5050.58
8	1	 J40	M	5004.50
8	1	 J41	M	4831.07
8	1	 J42	M	4645.60
8	1	 J43	M	4839.33
8	1	 J44	M	4935.60
8	1	 J45	M	5041.50
8	1	 J46	M	4894.05
8	1	 J47	M	4921.78
8	1	 J48	M	4523.97
8	1	 K01	M	5187.46
8	1	 K02	M	4719.39
8	1	 K03	M	4519.97
8	1	 K04	M	4721.57
8	1	 K05	M	4741.98
8	1	 K06	M	4265.38
8	1	 K07	M	5274.76
8	1	 K08	M	4613.90
8	1	 K09	M	5340.12
8	1	 K10	M	4874.91
8	1	 K11	M	4655.61
8	1	 K12	M	4878.67
8	1	 K13	M	4535.44
8	1	 K14	M	4839.41
8	1	 K15	M	4984.74
8	1	 K16	M	5071.00
8	1	 K17	M	5380.48
8	1	 K18	M	4980.80
8	1	 K19	M	5019.60
8	1	 K20	M	4917.48
8	1	 K21	M	5031.04
8	1	 K22	M	4855.73
8	1	 K23	M	4982.98
8	1	 K24	M	5044.28
8	1	 K25	M	5277.39
8	1	 K26	M	5849.39
8	1	 K27	M	5290.51
8	1	 K28	M	4945.38
8	1	 K29	M	5687.36
8	1	 K30	M	5529.88
8	1	 K31	M	5580.88
8	1	 K32	M	5790.19
8	1	 K33	M	5247.77
8	1	 K34	M	5137.21
8	1	 K35	M	4894.10
8	1	 K36	M	5397.31
8	1	 K37	M	5131.71
8	1	 K38	M	5208.47
8	1	 K39	M	5374.37
8	1	 K40	M	5301.79
8	1	 K41	M	5291.82
8	1	 K42	M	5446.87
8	1	 K43	M	5033.54
8	1	 K44	M	4970.58
8	1	 K45	M	5177.60
8	1	 K46	M	4910.49
8	1	 K47	M	4620.00
8	1	 K48	M	4792.86
8	1	 L01	M	4948.25
8	1	 L02	M	4969.53
8	1	 L03	M	4757.88
8	1	 L04	M	4709.67
8	1	 L05	M	4486.10
8	1	 L06	M	4683.56
8	1	 L07	M	4973.17
8	1	 L08	M	5244.36
8	1	 L09	M	5001.51
8	1	 L10	M	4619.10
8	1	 L11	M	4873.09
8	1	 L12	M	4941.28
8	1	 L13	M	5230.88
8	1	 L14	M	4680.67
8	1	 L15	M	5068.82
8	1	 L16	M	5634.50
8	1	 L17	M	4967.72
8	1	 L18	M	4708.65
8	1	 L19	M	4716.85
8	1	 L20	M	5038.23
8	1	 L21	M	5094.35
8	1	 L22	M	4857.13
8	1	 L23	M	5130.67
8	1	 L24	M	5276.93
8	1	 L25	M	5202.21
8	1	 L26	M	4843.52
8	1	 L27	M	4782.15
8	1	 L28	M	5057.50
8	1	 L29	M	5366.06
8	1	 L30	M	5500.61
8	1	 L31	M	4827.12
8	1	 L32	M	5118.10
8	1	 L33	M	5638.47
8	1	 L34	M	5323.19
8	1	 L35	M	5036.07
8	1	 L36	M	4695.80
8	1	 L37	M	5402.64
8	1	 L38	M	5157.77
8	1	 L39	M	5056.88
8	1	 L40	M	4619.20
8	1	 L41	M	5118.83
8	1	 L42	M	4943.61
8	1	 L43	M	4906.83
8	1	 L44	M	4692.16
8	1	 L45	M	5136.50
8	1	 L46	M	5115.76
8	1	 L47	M	4647.86
8	1	 L48	M	5292.77
8	1	 M01	M	5092.43
8	1	 M02	M	4582.61
8	1	 M03	M	5094.96
8	1	 M04	M	4591.61
8	1	 M05	M	4727.12
8	1	 M06	M	4515.44
8	1	 M07	M	4538.82
8	1	 M08	M	5220.15
8	1	 M09	M	4998.19
8	1	 M10	M	5164.08
8	1	 M11	M	5207.03
8	1	 M12	M	5213.75
8	1	 M13	M	5047.32
8	1	 M14	M	5341.21
8	1	 M15	M	5021.49
8	1	 M16	M	4847.86
8	1	 M17	M	5233.36
8	1	 M18	M	5130.36
8	1	 M19	M	5062.54
8	1	 M20	M	5016.92
8	1	 M21	M	4926.32
8	1	 M22	M	4735.44
8	1	 M23	M	5025.65
8	1	 M24	M	5272.83
8	1	 M25	M	5347.79
8	1	 M26	M	4307.01
8	1	 M27	M	5500.82
8	1	 M28	M	5445.97
8	1	 M29	M	5115.67
8	1	 M30	M	5378.24
8	1	 M31	M	5291.46
8	1	 M32	M	4595.52
8	1	 M33	M	5381.53
8	1	 M34	M	5172.72
8	1	 M35	M	5135.05
8	1	 M36	M	5184.65
8	1	 M37	M	5532.15
8	1	 M38	M	5210.73
8	1	 M39	M	4919.80
8	1	 M40	M	5533.20
8	1	 M41	M	4920.43
8	1	 M42	M	5257.33
8	1	 M43	M	4614.37
8	1	 M44	M	5041.58
8	1	 M45	M	4781.43
8	1	 M46	M	5124.70
8	1	 M47	M	4541.16
8	1	 M48	M	4872.82
8	1	 N01	M	4704.76
8	1	 N02	M	5309.26
8	1	 N03	M	5362.93
8	1	 N04	M	4925.51
8	1	 N05	M	4665.24
8	1	 N06	M	4610.76
8	1	 N07	M	4873.82
8	1	 N08	M	5070.98
8	1	 N09	M	5050.09
8	1	 N10	M	4610.60
8	1	 N11	M	5330.60
8	1	 N12	M	5394.89
8	1	 N13	M	5344.17
8	1	 N14	M	5466.23
8	1	 N15	M	5043.15
8	1	 N16	M	4929.57
8	1	 N17	M	4775.08
8	1	 N18	M	5355.27
8	1	 N19	M	5366.43
8	1	 N20	M	4936.07
8	1	 N21	M	5174.32
8	1	 N22	M	5041.47
8	1	 N23	M	5063.05
8	1	 N24	M	4876.95
8	1	 N25	M	5526.28
8	1	 N26	M	5158.43
8	1	 N27	M	4951.92
8	1	 N28	M	5834.83
8	1	 N29	M	5471.61
8	1	 N30	M	5327.90
8	1	 N31	M	5638.06
8	1	 N32	M	5266.06
8	1	 N33	M	5860.49
8	1	 N34	M	4985.88
8	1	 N35	M	5142.55
8	1	 N36	M	4944.28
8	1	 N37	M	5125.91
8	1	 N38	M	4989.04
8	1	 N39	M	4931.08
8	1	 N40	M	4729.57
8	1	 N41	M	5033.04
8	1	 N42	M	5185.85
8	1	 N43	M	4464.34
8	1	 N44	M	4936.18
8	1	 N45	M	4798.51
8	1	 N46	M	5010.48
8	1	 N47	M	4895.16
8	1	 N48	M	4999.31
8	1	 O01	M	5779.25
8	1	 O02	M	4951.49
8	1	 O03	M	4862.46
8	1	 O04	M	4636.92
8	1	 O05	M	4596.68
8	1	 O06	M	4004.07
8	1	 O07	M	4562.81
8	1	 O08	M	4858.75
8	1	 O09	M	4809.82
8	1	 O10	M	4542.20
8	1	 O11	M	4688.79
8	1	 O12	M	5086.90
8	1	 O13	M	5104.86
8	1	 O14	M	4945.36
8	1	 O15	M	5039.73
8	1	 O16	M	4712.16
8	1	 O17	M	4766.41
8	1	 O18	M	4546.79
8	1	 O19	M	4827.20
8	1	 O20	M	4357.37
8	1	 O21	M	5337.69
8	1	 O22	M	5295.60
8	1	 O23	M	5165.67
8	1	 O24	M	4796.98
8	1	 O25	M	5514.27
8	1	 O26	M	4920.61
8	1	 O27	M	5195.70
8	1	 O28	M	5000.80
8	1	 O29	M	4990.58
8	1	 O30	M	4795.79
8	1	 O31	M	5646.91
8	1	 O32	M	5398.12
8	1	 O33	M	5136.15
8	1	 O34	M	5049.56
8	1	 O35	M	4963.90
8	1	 O36	M	4705.72
8	1	 O37	M	4867.00
8	1	 O38	M	4872.44
8	1	 O39	M	5048.59
8	1	 O40	M	5446.36
8	1	 O41	M	5159.43
8	1	 O42	M	4921.15
8	1	 O43	M	4881.16
8	1	 O44	M	4679.68
8	1	 O45	M	4936.95
8	1	 O46	M	4972.81
8	1	 O47	M	5141.35
8	1	 O48	M	4508.23
8	1	 P01	M	4986.31
8	1	 P02	M	5224.71
8	1	 P03	M	4595.79
8	1	 P04	M	4729.56
8	1	 P05	M	4662.28
8	1	 P06	M	4891.12
8	1	 P07	M	4203.56
8	1	 P08	M	4573.50
8	1	 P09	M	4689.64
8	1	 P10	M	4541.16
8	1	 P11	M	4789.04
8	1	 P12	M	4799.27
8	1	 P13	M	4739.10
8	1	 P14	M	5207.19
8	1	 P15	M	5044.66
8	1	 P16	M	5071.09
8	1	 P17	M	4829.97
8	1	 P18	M	4876.10
8	1	 P19	M	5706.29
8	1	 P20	M	4482.81
8	1	 P21	M	4851.26
8	1	 P22	M	5356.16
8	1	 P23	M	5396.71
8	1	 P24	M	5047.84
8	1	 P25	M	5393.74
8	1	 P26	M	4969.09
8	1	 P27	M	5608.58
8	1	 P28	M	4845.94
8	1	 P29	M	5185.55
8	1	 P30	M	5089.41
8	1	 P31	M	5305.12
8	1	 P32	M	4982.07
8	1	 P33	M	5490.92
8	1	 P34	M	5667.22
8	1	 P35	M	5169.62
8	1	 P36	M	4845.88
8	1	 P37	M	4907.45
8	1	 P38	M	4682.10
8	1	 P39	M	4882.44
8	1	 P40	M	5988.37
8	1	 P41	M	5217.07
8	1	 P42	M	4777.76
8	1	 P43	M	4970.14
8	1	 P44	M	4866.25
8	1	 P45	M	4872.89
8	1	 P46	M	4463.75
8	1	 P47	M	4916.99
8	1	 P48	M	4903.33
8	1	 Q01	M	4698.64
8	1	 Q02	M	4984.35
8	1	 Q03	M	5010.84
8	1	 Q04	M	4461.16
8	1	 Q05	M	4825.69
8	1	 Q06	M	4675.65
