;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
1	1	 A01	M	7042.19
1	1	 A02	M	9920.56
1	1	 A03	M	9371.08
1	1	 A04	M	8172.34
1	1	 A05	M	9312.20
1	1	 A06	M	9418.67
1	1	 A07	M	10034.35
1	1	 A08	M	9088.83
1	1	 A09	M	8767.04
1	1	 A10	M	9542.44
1	1	 A11	M	7826.05
1	1	 A12	M	9181.65
1	1	 A13	M	8831.45
1	1	 A14	M	8113.71
1	1	 A15	M	8223.85
1	1	 A16	M	7692.70
1	1	 A17	M	7630.50
1	1	 A18	M	6793.96
1	1	 A19	M	6897.67
1	1	 A20	M	7040.05
1	1	 A21	M	7958.82
1	1	 A22	M	6010.17
1	1	 A23	M	8678.23
1	1	 A24	M	8106.94
1	1	 A25	M	7758.31
1	1	 A26	M	7424.97
1	1	 A27	M	8370.51
1	1	 A28	M	6795.08
1	1	 A29	M	7791.13
1	1	 A30	M	6728.67
1	1	 A31	M	7319.36
1	1	 A32	M	7701.03
1	1	 A33	M	6956.65
1	1	 A34	M	7405.80
1	1	 A35	M	8535.21
1	1	 A36	M	7147.33
1	1	 A37	M	7637.30
1	1	 A38	M	7007.60
1	1	 A39	M	6599.87
1	1	 A40	M	6448.98
1	1	 A41	M	6942.05
1	1	 A42	M	6690.13
1	1	 A43	M	7116.68
1	1	 A44	M	7328.19
1	1	 A45	M	6983.06
1	1	 A46	M	6210.76
1	1	 A47	M	7123.30
1	1	 A48	M	6001.55
1	1	 B01	M	10178.44
1	1	 B02	M	9610.83
1	1	 B03	M	7219.49
1	1	 B04	M	5843.18
1	1	 B05	M	6575.98
1	1	 B06	M	6765.54
1	1	 B07	M	6930.50
1	1	 B08	M	6135.75
1	1	 B09	M	7877.79
1	1	 B10	M	7773.52
1	1	 B11	M	7482.77
1	1	 B12	M	8567.63
1	1	 B13	M	6514.64
1	1	 B14	M	6387.69
1	1	 B15	M	6956.21
1	1	 B16	M	7268.25
1	1	 B17	M	6952.45
1	1	 B18	M	7247.06
1	1	 B19	M	6294.27
1	1	 B20	M	6598.12
1	1	 B21	M	7146.29
1	1	 B22	M	7372.95
1	1	 B23	M	7940.68
1	1	 B24	M	8518.82
1	1	 B25	M	8243.03
1	1	 B26	M	7603.61
1	1	 B27	M	6880.96
1	1	 B28	M	7285.32
1	1	 B29	M	7754.65
1	1	 B30	M	7033.95
1	1	 B31	M	8029.11
1	1	 B32	M	7649.66
1	1	 B33	M	7269.76
1	1	 B34	M	8256.50
1	1	 B35	M	8199.44
1	1	 B36	M	7753.47
1	1	 B37	M	6813.59
1	1	 B38	M	6708.84
1	1	 B39	M	6207.09
1	1	 B40	M	5865.59
1	1	 B41	M	6868.97
1	1	 B42	M	7199.37
1	1	 B43	M	7465.48
1	1	 B44	M	7740.65
1	1	 B45	M	7828.18
1	1	 B46	M	6823.67
1	1	 B47	M	7054.07
1	1	 B48	M	8849.68
1	1	 C01	M	9855.02
1	1	 C02	M	8097.98
1	1	 C03	M	6710.10
1	1	 C04	M	7374.91
1	1	 C05	M	6562.22
1	1	 C06	M	6532.48
1	1	 C07	M	7069.22
1	1	 C08	M	6686.64
1	1	 C09	M	6031.95
1	1	 C10	M	6935.52
1	1	 C11	M	6622.95
1	1	 C12	M	7512.93
1	1	 C13	M	7684.98
1	1	 C14	M	6573.24
1	1	 C15	M	7448.03
1	1	 C16	M	7780.76
1	1	 C17	M	8086.60
1	1	 C18	M	7465.64
1	1	 C19	M	7464.32
1	1	 C20	M	7194.87
1	1	 C21	M	7894.88
1	1	 C22	M	7079.11
1	1	 C23	M	6999.31
1	1	 C24	M	7129.55
1	1	 C25	M	8852.54
1	1	 C26	M	7320.41
1	1	 C27	M	8007.23
1	1	 C28	M	7448.85
1	1	 C29	M	7265.26
1	1	 C30	M	7587.06
1	1	 C31	M	7827.30
1	1	 C32	M	5671.34
1	1	 C33	M	7140.64
1	1	 C34	M	6516.33
1	1	 C35	M	7153.15
1	1	 C36	M	6444.83
1	1	 C37	M	7516.62
1	1	 C38	M	6569.63
1	1	 C39	M	6857.37
1	1	 C40	M	6774.35
1	1	 C41	M	6897.89
1	1	 C42	M	6793.67
1	1	 C43	M	7233.60
1	1	 C44	M	6550.50
1	1	 C45	M	7115.62
1	1	 C46	M	6636.10
1	1	 C47	M	7241.97
1	1	 C48	M	7070.74
1	1	 D01	M	8699.12
1	1	 D02	M	6917.41
1	1	 D03	M	6511.95
1	1	 D04	M	6323.99
1	1	 D05	M	6302.23
