;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
8	1	 A01	M	5064.70
8	1	 A02	M	804.35
8	1	 A03	M	615.40
8	1	 A04	M	814.10
8	1	 A05	M	571.19
8	1	 A06	M	678.61
8	1	 A07	M	503.25
8	1	 A08	M	1219.04
8	1	 A09	M	1462.90
8	1	 A10	M	1175.06
8	1	 A11	M	639.91
8	1	 A12	M	1214.16
8	1	 A13	M	721.06
8	1	 A14	M	986.47
8	1	 A15	M	732.57
8	1	 A16	M	823.08
8	1	 A17	M	1083.26
8	1	 A18	M	1338.25
8	1	 A19	M	1629.26
8	1	 A20	M	2078.45
8	1	 A21	M	2583.66
8	1	 A22	M	2085.74
8	1	 A23	M	2711.40
8	1	 A24	M	5220.21
8	1	 A25	M	60.74
8	1	 A26	M	396.76
8	1	 A27	M	707.86
8	1	 A28	M	465.33
8	1	 A29	M	457.96
8	1	 A30	M	529.10
8	1	 A31	M	638.71
8	1	 A32	M	933.76
8	1	 A33	M	561.42
8	1	 A34	M	850.21
8	1	 A35	M	731.34
8	1	 A36	M	855.28
8	1	 A37	M	507.33
8	1	 A38	M	1220.56
8	1	 A39	M	1067.20
8	1	 A40	M	1034.04
8	1	 A41	M	1123.52
8	1	 A42	M	1749.15
8	1	 A43	M	1380.46
8	1	 A44	M	2623.29
8	1	 A45	M	2408.19
8	1	 A46	M	2774.09
8	1	 A47	M	2762.33
8	1	 A48	M	30.54
8	1	 B01	M	5040.88
8	1	 B02	M	107.44
8	1	 B03	M	79.96
8	1	 B04	M	77.06
8	1	 B05	M	94.20
8	1	 B06	M	1753.29
8	1	 B07	M	3079.03
8	1	 B08	M	4549.80
8	1	 B09	M	4545.91
8	1	 B10	M	4854.39
8	1	 B11	M	4490.54
8	1	 B12	M	5094.37
8	1	 B13	M	4663.48
8	1	 B14	M	4878.59
8	1	 B15	M	4854.42
8	1	 B16	M	4983.81
8	1	 B17	M	4483.32
8	1	 B18	M	4945.39
8	1	 B19	M	4814.83
8	1	 B20	M	5473.12
8	1	 B21	M	5056.89
8	1	 B22	M	5020.33
8	1	 B23	M	4761.22
8	1	 B24	M	5312.56
8	1	 B25	M	61.42
8	1	 B26	M	63.41
8	1	 B27	M	71.27
8	1	 B28	M	73.72
8	1	 B29	M	97.42
8	1	 B30	M	1719.35
8	1	 B31	M	3296.76
8	1	 B32	M	4585.64
8	1	 B33	M	4228.26
8	1	 B34	M	4834.77
8	1	 B35	M	4435.93
8	1	 B36	M	5313.22
8	1	 B37	M	4144.81
8	1	 B38	M	4902.07
8	1	 B39	M	4549.28
8	1	 B40	M	4922.26
8	1	 B41	M	4469.57
8	1	 B42	M	4831.30
8	1	 B43	M	4593.52
