;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
8	1	 A01	M	4954.07
8	1	 A02	M	4124.29
8	1	 A03	M	5529.04
8	1	 A04	M	4592.75
8	1	 A05	M	5277.21
8	1	 A06	M	6038.35
8	1	 A07	M	6067.91
8	1	 A08	M	6140.70
8	1	 A09	M	6211.25
8	1	 A10	M	5800.27
8	1	 A11	M	6005.56
8	1	 A12	M	5334.68
8	1	 A13	M	6212.59
8	1	 A14	M	6069.35
8	1	 A15	M	5764.10
8	1	 A16	M	5445.02
8	1	 A17	M	6065.64
8	1	 A18	M	5134.20
8	1	 A19	M	5861.78
8	1	 A20	M	5611.95
8	1	 A21	M	6152.10
8	1	 A22	M	5844.33
8	1	 A23	M	6164.19
8	1	 A24	M	5392.30
8	1	 A25	M	118.01
8	1	 A26	M	4973.23
8	1	 A27	M	6001.26
8	1	 A28	M	6014.05
8	1	 A29	M	6378.49
8	1	 A30	M	5983.09
8	1	 A31	M	6426.08
8	1	 A32	M	5424.19
8	1	 A33	M	5988.54
8	1	 A34	M	5418.57
8	1	 A35	M	5352.36
8	1	 A36	M	6889.46
8	1	 A37	M	5475.03
8	1	 A38	M	5873.93
8	1	 A39	M	5309.96
8	1	 A40	M	5306.89
8	1	 A41	M	5527.73
8	1	 A42	M	5672.86
8	1	 A43	M	6321.42
8	1	 A44	M	5311.85
8	1	 A45	M	6165.89
8	1	 A46	M	4972.04
8	1	 A47	M	4550.49
8	1	 A48	M	53.92
8	1	 B01	M	5490.55
8	1	 B02	M	111.48
8	1	 B03	M	77.56
8	1	 B04	M	73.44
8	1	 B05	M	113.07
8	1	 B06	M	2103.37
8	1	 B07	M	4693.67
8	1	 B08	M	5055.71
8	1	 B09	M	5549.82
8	1	 B10	M	5133.04
8	1	 B11	M	5351.57
8	1	 B12	M	5265.89
8	1	 B13	M	5831.87
8	1	 B14	M	5705.85
8	1	 B15	M	5764.52
8	1	 B16	M	5306.43
8	1	 B17	M	6037.39
8	1	 B18	M	6192.50
8	1	 B19	M	5746.87
8	1	 B20	M	6249.17
8	1	 B21	M	5697.11
8	1	 B22	M	6013.60
8	1	 B23	M	6371.69
8	1	 B24	M	6022.94
8	1	 B25	M	76.44
8	1	 B26	M	71.15
8	1	 B27	M	82.78
8	1	 B28	M	89.67
8	1	 B29	M	123.03
8	1	 B30	M	2045.52
8	1	 B31	M	4343.87
8	1	 B32	M	5115.40
8	1	 B33	M	5335.89
8	1	 B34	M	5207.21
8	1	 B35	M	5573.17
8	1	 B36	M	5338.97
8	1	 B37	M	6630.42
8	1	 B38	M	5462.99
8	1	 B39	M	5098.72
8	1	 B40	M	5691.14
8	1	 B41	M	6141.89
8	1	 B42	M	5572.37
8	1	 B43	M	5801.98
8	1	 B44	M	5488.07
8	1	 B45	M	5590.33
8	1	 B46	M	5891.20
8	1	 B47	M	5485.49
8	1	 B48	M	62.96
8	1	 C01	M	5123.11
8	1	 C02	M	235.75
8	1	 C03	M	147.29
8	1	 C04	M	221.42
8	1	 C05	M	258.23
8	1	 C06	M	219.84
8	1	 C07	M	279.36
8	1	 C08	M	251.20
8	1	 C09	M	333.92
8	1	 C10	M	459.40
8	1	 C11	M	300.59
8	1	 C12	M	563.54
8	1	 C13	M	421.99
8	1	 C14	M	363.77
8	1	 C15	M	496.45
8	1	 C16	M	643.12
8	1	 C17	M	1260.49
8	1	 C18	M	1472.62
8	1	 C19	M	1742.21
8	1	 C20	M	2365.48
8	1	 C21	M	2894.60
8	1	 C22	M	3233.02
8	1	 C23	M	3999.15
8	1	 C24	M	5477.65
8	1	 C25	M	76.38
8	1	 C26	M	291.82
8	1	 C27	M	216.78
8	1	 C28	M	212.88
8	1	 C29	M	173.71
8	1	 C30	M	198.87
8	1	 C31	M	341.44
8	1	 C32	M	247.10
8	1	 C33	M	242.03
8	1	 C34	M	359.90
8	1	 C35	M	314.45
8	1	 C36	M	288.44
8	1	 C37	M	387.47
8	1	 C38	M	357.85
8	1	 C39	M	446.58
8	1	 C40	M	687.85
8	1	 C41	M	975.21
8	1	 C42	M	1257.54
8	1	 C43	M	1593.34
8	1	 C44	M	2048.22
8	1	 C45	M	2471.00
8	1	 C46	M	2803.33
8	1	 C47	M	3605.85
8	1	 C48	M	49.23
8	1	 D01	M	5488.02
8	1	 D02	M	6585.85
8	1	 D03	M	5836.99
8	1	 D04	M	6501.17
8	1	 D05	M	5877.74
8	1	 D06	M	6216.41
8	1	 D07	M	5931.28
8	1	 D08	M	5718.12
8	1	 D09	M	5507.47
8	1	 D10	M	6436.10
8	1	 D11	M	5920.20
8	1	 D12	M	5719.93
8	1	 D13	M	6135.66
8	1	 D14	M	5983.03
8	1	 D15	M	6107.69
8	1	 D16	M	5875.32
8	1	 D17	M	6016.81
8	1	 D18	M	6119.76
8	1	 D19	M	6044.91
8	1	 D20	M	5683.51
8	1	 D21	M	5772.65
8	1	 D22	M	5813.72
8	1	 D23	M	6116.39
8	1	 D24	M	6018.85
8	1	 D25	M	142.22
8	1	 D26	M	6302.72
8	1	 D27	M	6224.54
8	1	 D28	M	5939.74
8	1	 D29	M	5629.91
8	1	 D30	M	5588.54
8	1	 D31	M	5932.62
8	1	 D32	M	6214.00
8	1	 D33	M	5757.05
8	1	 D34	M	5966.77
8	1	 D35	M	5781.43
8	1	 D36	M	6036.11
8	1	 D37	M	6095.64
8	1	 D38	M	5690.34
8	1	 D39	M	5695.82
8	1	 D40	M	5689.84
8	1	 D41	M	5812.79
8	1	 D42	M	5670.58
8	1	 D43	M	5935.68
8	1	 D44	M	5608.07
8	1	 D45	M	5438.84
8	1	 D46	M	5234.69
8	1	 D47	M	5480.80
8	1	 D48	M	63.53
8	1	 E01	M	5599.12
8	1	 E02	M	195.23
8	1	 E03	M	152.00
8	1	 E04	M	219.84
8	1	 E05	M	162.24
8	1	 E06	M	172.92
8	1	 E07	M	207.64
8	1	 E08	M	337.38
8	1	 E09	M	440.92
8	1	 E10	M	302.60
8	1	 E11	M	378.77
8	1	 E12	M	477.70
8	1	 E13	M	1041.37
8	1	 E14	M	1109.47
8	1	 E15	M	1510.52
8	1	 E16	M	2516.76
