;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
3	1	 A01	M	4549.31
3	1	 A02	M	6126.65
3	1	 A03	M	6740.18
3	1	 A04	M	7390.82
3	1	 A05	M	6948.31
3	1	 A06	M	7178.39
3	1	 A07	M	6732.46
3	1	 A08	M	6011.66
3	1	 A09	M	7178.84
3	1	 A10	M	6543.70
3	1	 A11	M	6190.94
3	1	 A12	M	5830.28
3	1	 A13	M	7619.93
3	1	 A14	M	5900.69
3	1	 A15	M	6816.50
3	1	 A16	M	5870.47
3	1	 A17	M	7026.64
3	1	 A18	M	7029.31
3	1	 A19	M	6975.37
3	1	 A20	M	7037.39
3	1	 A21	M	6336.65
3	1	 A22	M	6784.97
3	1	 A23	M	5837.76
3	1	 A24	M	6298.82
3	1	 A25	M	98.20
3	1	 A26	M	5188.06
3	1	 A27	M	5938.20
3	1	 A28	M	7108.04
3	1	 A29	M	6958.37
3	1	 A30	M	5868.15
3	1	 A31	M	6796.10
3	1	 A32	M	6207.26
3	1	 A33	M	6464.99
3	1	 A34	M	6932.81
3	1	 A35	M	7283.76
3	1	 A36	M	5340.92
3	1	 A37	M	6242.51
3	1	 A38	M	5851.12
3	1	 A39	M	6230.88
3	1	 A40	M	6076.07
3	1	 A41	M	6056.33
3	1	 A42	M	6367.78
3	1	 A43	M	6867.84
3	1	 A44	M	6206.21
3	1	 A45	M	6815.53
3	1	 A46	M	7735.72
3	1	 A47	M	7068.79
3	1	 A48	M	56.19
3	1	 B01	M	7199.78
3	1	 B02	M	110.82
3	1	 B03	M	76.80
3	1	 B04	M	83.00
3	1	 B05	M	106.20
3	1	 B06	M	1675.79
3	1	 B07	M	4850.31
3	1	 B08	M	6354.49
3	1	 B09	M	6903.71
3	1	 B10	M	6604.37
3	1	 B11	M	6669.62
3	1	 B12	M	6577.26
3	1	 B13	M	7162.57
3	1	 B14	M	6705.16
3	1	 B15	M	7169.38
3	1	 B16	M	6806.68
3	1	 B17	M	6655.28
3	1	 B18	M	6705.21
3	1	 B19	M	6618.09
3	1	 B20	M	7240.47
3	1	 B21	M	7120.23
3	1	 B22	M	6574.14
3	1	 B23	M	6554.11
3	1	 B24	M	6802.09
3	1	 B25	M	68.56
3	1	 B26	M	59.47
3	1	 B27	M	65.53
3	1	 B28	M	78.82
3	1	 B29	M	100.10
3	1	 B30	M	1869.74
3	1	 B31	M	4254.11
3	1	 B32	M	5762.29
3	1	 B33	M	5877.19
3	1	 B34	M	6139.07
3	1	 B35	M	6427.25
3	1	 B36	M	5893.51
3	1	 B37	M	5966.30
3	1	 B38	M	6619.52
3	1	 B39	M	5875.04
3	1	 B40	M	6427.29
3	1	 B41	M	6711.31
3	1	 B42	M	5593.01
3	1	 B43	M	5654.23
3	1	 B44	M	5591.45
3	1	 B45	M	6053.86
3	1	 B46	M	6492.92
3	1	 B47	M	6438.38
3	1	 B48	M	57.20
3	1	 C01	M	170.17
3	1	 C02	M	145.66
3	1	 C03	M	288.35
3	1	 C04	M	176.88
3	1	 C05	M	143.87
3	1	 C06	M	214.51
3	1	 C07	M	212.21
3	1	 C08	M	307.62
3	1	 C09	M	345.70
3	1	 C10	M	290.49
3	1	 C11	M	366.71
3	1	 C12	M	360.01
3	1	 C13	M	416.98
3	1	 C14	M	485.16
3	1	 C15	M	519.40
3	1	 C16	M	923.72
3	1	 C17	M	1643.48
3	1	 C18	M	1659.93
3	1	 C19	M	2099.09
3	1	 C20	M	2900.20
3	1	 C21	M	3033.47
3	1	 C22	M	3515.45
3	1	 C23	M	4380.93
3	1	 C24	M	6576.34
3	1	 C25	M	69.85
3	1	 C26	M	291.25
3	1	 C27	M	182.59
3	1	 C28	M	143.92
3	1	 C29	M	164.10
3	1	 C30	M	165.74
3	1	 C31	M	187.65
3	1	 C32	M	227.89
3	1	 C33	M	370.50
3	1	 C34	M	225.97
3	1	 C35	M	276.19
3	1	 C36	M	220.90
3	1	 C37	M	324.51
3	1	 C38	M	388.97
3	1	 C39	M	455.29
3	1	 C40	M	747.26
3	1	 C41	M	1082.33
3	1	 C42	M	1325.66
3	1	 C43	M	1719.64
3	1	 C44	M	2121.25
3	1	 C45	M	2447.19
3	1	 C46	M	3189.31
3	1	 C47	M	4298.84
3	1	 C48	M	44.84
3	1	 D01	M	7126.19
3	1	 D02	M	6467.83
3	1	 D03	M	7469.25
3	1	 D04	M	6767.92
3	1	 D05	M	6804.43
3	1	 D06	M	6494.01
3	1	 D07	M	7221.57
3	1	 D08	M	7158.91
3	1	 D09	M	7215.62
3	1	 D10	M	7291.42
3	1	 D11	M	7032.18
3	1	 D12	M	7200.06
3	1	 D13	M	6800.89
3	1	 D14	M	7182.52
3	1	 D15	M	7214.46
3	1	 D16	M	7193.53
3	1	 D17	M	7628.08
3	1	 D18	M	6856.41
3	1	 D19	M	7028.68
3	1	 D20	M	6703.04
3	1	 D21	M	6950.67
3	1	 D22	M	6668.32
3	1	 D23	M	6847.64
3	1	 D24	M	6509.04
3	1	 D25	M	113.42
3	1	 D26	M	6189.73
3	1	 D27	M	6673.64
3	1	 D28	M	7019.57
3	1	 D29	M	6290.03
3	1	 D30	M	6065.93
3	1	 D31	M	6189.46
3	1	 D32	M	5732.71
3	1	 D33	M	6462.90
3	1	 D34	M	5997.68
3	1	 D35	M	5736.75
3	1	 D36	M	5766.14
3	1	 D37	M	6660.82
3	1	 D38	M	6112.71
3	1	 D39	M	5258.91
3	1	 D40	M	5726.46
3	1	 D41	M	6084.82
3	1	 D42	M	6078.41
3	1	 D43	M	6115.80
3	1	 D44	M	5524.64
3	1	 D45	M	5864.63
3	1	 D46	M	6043.47
3	1	 D47	M	6134.87
3	1	 D48	M	56.05
3	1	 E01	M	7473.71
3	1	 E02	M	229.01
3	1	 E03	M	132.61
3	1	 E04	M	149.76
3	1	 E05	M	190.63
3	1	 E06	M	185.15
3	1	 E07	M	259.11
3	1	 E08	M	398.09
3	1	 E09	M	595.51
3	1	 E10	M	469.05
3	1	 E11	M	556.52
3	1	 E12	M	828.33
3	1	 E13	M	1258.51
3	1	 E14	M	1395.48
3	1	 E15	M	2000.32
3	1	 E16	M	2939.25
3	1	 E17	M	3937.27
3	1	 E18	M	4370.28
3	1	 E19	M	4266.52
3	1	 E20	M	4573.04
3	1	 E21	M	4688.17
3	1	 E22	M	6174.45
3	1	 E23	M	5277.99
3	1	 E24	M	6376.56
3	1	 E25	M	68.80
3	1	 E26	M	118.56
3	1	 E27	M	147.78
3	1	 E28	M	127.77
3	1	 E29	M	134.49
