;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
7	1	 A01	M	980.82
7	1	 A02	M	1267.31
7	1	 A03	M	1466.86
7	1	 A04	M	1196.91
7	1	 A05	M	1345.73
7	1	 A06	M	1161.41
7	1	 A07	M	1683.06
7	1	 A08	M	1217.52
7	1	 A09	M	1681.41
7	1	 A10	M	1519.54
7	1	 A11	M	1452.07
7	1	 A12	M	1295.23
7	1	 A13	M	1694.96
7	1	 A14	M	1354.23
7	1	 A15	M	1542.50
7	1	 A16	M	1356.41
7	1	 A17	M	1770.52
7	1	 A18	M	1591.94
7	1	 A19	M	1872.82
7	1	 A20	M	1414.43
7	1	 A21	M	1536.82
7	1	 A22	M	1390.70
7	1	 A23	M	1859.76
7	1	 A24	M	1367.49
7	1	 A25	M	1903.95
7	1	 A26	M	1238.96
7	1	 A27	M	1779.48
7	1	 A28	M	1483.12
7	1	 A29	M	1634.24
7	1	 A30	M	1258.70
7	1	 A31	M	1568.25
7	1	 A32	M	1470.29
7	1	 A33	M	1868.14
7	1	 A34	M	1596.17
7	1	 A35	M	1542.15
7	1	 A36	M	1427.19
7	1	 A37	M	1581.77
7	1	 A38	M	1374.25
7	1	 A39	M	1698.53
7	1	 A40	M	1385.70
7	1	 A41	M	1653.29
7	1	 A42	M	1607.92
7	1	 A43	M	1649.90
7	1	 A44	M	1697.42
7	1	 A45	M	1568.64
7	1	 A46	M	1429.23
7	1	 A47	M	1781.71
7	1	 A48	M	1250.96
7	1	 B01	M	1215.10
7	1	 B02	M	1796.54
7	1	 B03	M	1552.10
7	1	 B04	M	1382.48
7	1	 B05	M	1671.63
7	1	 B06	M	1540.97
7	1	 B07	M	1893.89
7	1	 B08	M	1496.97
7	1	 B09	M	1868.52
7	1	 B10	M	1652.99
7	1	 B11	M	1846.53
7	1	 B12	M	1720.28
7	1	 B13	M	1863.61
7	1	 B14	M	1650.20
7	1	 B15	M	1566.63
7	1	 B16	M	1536.90
7	1	 B17	M	1744.31
7	1	 B18	M	2066.39
7	1	 B19	M	1849.58
7	1	 B20	M	1909.83
7	1	 B21	M	1719.03
7	1	 B22	M	1750.87
7	1	 B23	M	1687.24
7	1	 B24	M	1811.82
7	1	 B25	M	1901.52
7	1	 B26	M	1621.81
7	1	 B27	M	1753.52
7	1	 B28	M	1780.36
7	1	 B29	M	1845.83
7	1	 B30	M	1824.08
7	1	 B31	M	1625.78
7	1	 B32	M	1651.89
7	1	 B33	M	1992.27
7	1	 B34	M	1661.81
7	1	 B35	M	2157.73
7	1	 B36	M	1712.48
7	1	 B37	M	1800.09
7	1	 B38	M	2116.36
7	1	 B39	M	1778.13
7	1	 B40	M	1562.57
7	1	 B41	M	2088.85
7	1	 B42	M	1780.10
7	1	 B43	M	1709.00
7	1	 B44	M	1786.35
7	1	 B45	M	1793.76
7	1	 B46	M	1682.70
7	1	 B47	M	1463.22
7	1	 B48	M	1809.20
7	1	 C01	M	1719.96
7	1	 C02	M	1822.23
7	1	 C03	M	1758.17
7	1	 C04	M	1750.65
7	1	 C05	M	1821.51
7	1	 C06	M	2044.97
7	1	 C07	M	2180.58
7	1	 C08	M	2100.50
7	1	 C09	M	2249.75
7	1	 C10	M	1774.17
7	1	 C11	M	2014.86
7	1	 C12	M	1805.96
7	1	 C13	M	2134.32
7	1	 C14	M	1621.44
7	1	 C15	M	1670.43
7	1	 C16	M	2472.94
7	1	 C17	M	1592.67
7	1	 C18	M	1786.16
7	1	 C19	M	1971.56
7	1	 C20	M	1930.15
7	1	 C21	M	1836.66
7	1	 C22	M	1936.41
7	1	 C23	M	1953.05
7	1	 C24	M	1910.78
7	1	 C25	M	1980.04
7	1	 C26	M	1816.94
7	1	 C27	M	1823.86
7	1	 C28	M	1944.93
7	1	 C29	M	1927.38
7	1	 C30	M	2006.18
7	1	 C31	M	1597.29
7	1	 C32	M	1932.87
7	1	 C33	M	1894.78
7	1	 C34	M	1797.50
7	1	 C35	M	2123.76
7	1	 C36	M	1781.91
7	1	 C37	M	2266.53
7	1	 C38	M	2003.44
7	1	 C39	M	1885.10
7	1	 C40	M	1660.90
7	1	 C41	M	2148.61
7	1	 C42	M	2074.72
7	1	 C43	M	2171.46
7	1	 C44	M	1823.46
7	1	 C45	M	2015.72
7	1	 C46	M	1736.66
7	1	 C47	M	1837.10
7	1	 C48	M	1884.07
7	1	 D01	M	1573.75
7	1	 D02	M	1821.44
7	1	 D03	M	1632.64
7	1	 D04	M	1520.36
7	1	 D05	M	1874.02
7	1	 D06	M	1890.29
7	1	 D07	M	2329.59
7	1	 D08	M	1667.08
7	1	 D09	M	1931.08
7	1	 D10	M	1915.80
7	1	 D11	M	1694.52
7	1	 D12	M	1928.45
7	1	 D13	M	1990.78
7	1	 D14	M	2011.41
7	1	 D15	M	1724.69
7	1	 D16	M	1918.56
7	1	 D17	M	1801.27
7	1	 D18	M	1912.60
7	1	 D19	M	2275.28
7	1	 D20	M	1923.14
7	1	 D21	M	1945.60
7	1	 D22	M	1895.71
7	1	 D23	M	1853.04
7	1	 D24	M	1958.50
7	1	 D25	M	1729.94
7	1	 D26	M	1841.53
7	1	 D27	M	2089.10
