;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
10	1	 A01	M	459.96
10	1	 A02	M	420.16
10	1	 A03	M	542.78
10	1	 A04	M	530.27
10	1	 A05	M	542.14
10	1	 A06	M	494.98
10	1	 A07	M	852.71
10	1	 A08	M	566.21
10	1	 A09	M	714.87
10	1	 A10	M	511.27
10	1	 A11	M	757.54
10	1	 A12	M	469.42
10	1	 A13	M	635.89
10	1	 A14	M	579.14
10	1	 A15	M	521.85
10	1	 A16	M	569.04
10	1	 A17	M	823.20
10	1	 A18	M	499.45
10	1	 A19	M	629.93
10	1	 A20	M	464.09
10	1	 A21	M	698.13
10	1	 A22	M	450.55
10	1	 A23	M	754.58
10	1	 A24	M	457.00
10	1	 A25	M	538.82
10	1	 A26	M	646.23
10	1	 A27	M	602.41
10	1	 A28	M	562.71
10	1	 A29	M	643.83
10	1	 A30	M	575.38
10	1	 A31	M	814.46
10	1	 A32	M	505.08
10	1	 A33	M	546.79
10	1	 A34	M	513.27
10	1	 A35	M	894.69
10	1	 A36	M	763.24
10	1	 A37	M	584.97
10	1	 A38	M	604.58
10	1	 A39	M	630.60
10	1	 A40	M	522.23
10	1	 A41	M	513.18
10	1	 A42	M	390.19
10	1	 A43	M	594.97
10	1	 A44	M	480.55
10	1	 A45	M	587.80
10	1	 A46	M	381.27
10	1	 A47	M	647.01
10	1	 A48	M	464.68
10	1	 B01	M	976.04
10	1	 B02	M	588.28
10	1	 B03	M	721.77
10	1	 B04	M	550.39
10	1	 B05	M	762.67
10	1	 B06	M	688.05
10	1	 B07	M	908.32
10	1	 B08	M	691.07
10	1	 B09	M	702.29
10	1	 B10	M	704.48
10	1	 B11	M	681.50
10	1	 B12	M	670.10
10	1	 B13	M	1046.45
10	1	 B14	M	543.93
10	1	 B15	M	864.74
10	1	 B16	M	736.80
10	1	 B17	M	701.84
10	1	 B18	M	788.56
10	1	 B19	M	721.05
10	1	 B20	M	584.66
10	1	 B21	M	644.88
10	1	 B22	M	655.14
10	1	 B23	M	878.99
10	1	 B24	M	616.32
10	1	 B25	M	1119.76
10	1	 B26	M	676.40
10	1	 B27	M	831.63
10	1	 B28	M	672.33
10	1	 B29	M	783.60
10	1	 B30	M	721.62
10	1	 B31	M	1216.88
10	1	 B32	M	700.51
10	1	 B33	M	774.86
10	1	 B34	M	621.89
10	1	 B35	M	791.06
10	1	 B36	M	720.81
10	1	 B37	M	911.75
10	1	 B38	M	690.44
10	1	 B39	M	709.08
10	1	 B40	M	839.66
10	1	 B41	M	667.11
10	1	 B42	M	740.66
10	1	 B43	M	874.32
