;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
12	1	 A01	M	420.59
12	1	 A02	M	130.33
12	1	 A03	M	215.06
12	1	 A04	M	205.63
12	1	 A05	M	370.19
12	1	 A06	M	276.22
12	1	 A07	M	402.26
12	1	 A08	M	400.57
12	1	 A09	M	522.20
12	1	 A10	M	421.44
12	1	 A11	M	459.67
12	1	 A12	M	384.81
12	1	 A13	M	605.91
12	1	 A14	M	529.05
12	1	 A15	M	924.15
12	1	 A16	M	475.69
12	1	 A17	M	726.59
12	1	 A18	M	548.38
12	1	 A19	M	638.29
12	1	 A20	M	403.78
12	1	 A21	M	742.28
12	1	 A22	M	615.14
12	1	 A23	M	669.86
12	1	 A24	M	489.38
12	1	 A25	M	836.48
12	1	 A26	M	226.19
12	1	 A27	M	315.45
12	1	 A28	M	219.73
12	1	 A29	M	422.17
12	1	 A30	M	295.76
12	1	 A31	M	724.25
12	1	 A32	M	449.71
12	1	 A33	M	993.08
12	1	 A34	M	352.49
12	1	 A35	M	614.45
12	1	 A36	M	278.77
12	1	 A37	M	463.97
12	1	 A38	M	340.75
12	1	 A39	M	495.43
12	1	 A40	M	302.29
12	1	 A41	M	841.92
12	1	 A42	M	381.13
12	1	 A43	M	724.52
12	1	 A44	M	485.15
12	1	 A45	M	791.39
12	1	 A46	M	474.46
12	1	 A47	M	932.57
12	1	 A48	M	1065.46
12	1	 B01	M	781.43
12	1	 B02	M	495.82
12	1	 B03	M	586.73
12	1	 B04	M	570.23
12	1	 B05	M	648.02
12	1	 B06	M	651.93
12	1	 B07	M	806.63
12	1	 B08	M	795.83
12	1	 B09	M	692.78
12	1	 B10	M	690.14
12	1	 B11	M	693.21
12	1	 B12	M	778.45
12	1	 B13	M	820.39
12	1	 B14	M	721.88
12	1	 B15	M	1121.97
12	1	 B16	M	784.89
12	1	 B17	M	736.74
12	1	 B18	M	707.44
12	1	 B19	M	712.91
12	1	 B20	M	589.20
12	1	 B21	M	768.59
12	1	 B22	M	641.75
12	1	 B23	M	696.16
12	1	 B24	M	689.12
12	1	 B25	M	798.82
12	1	 B26	M	680.35
12	1	 B27	M	784.98
12	1	 B28	M	844.23
12	1	 B29	M	849.73
12	1	 B30	M	719.87
12	1	 B31	M	770.17
12	1	 B32	M	804.73
12	1	 B33	M	669.59
12	1	 B34	M	699.41
12	1	 B35	M	814.64
12	1	 B36	M	697.16
12	1	 B37	M	679.60
12	1	 B38	M	594.45
12	1	 B39	M	757.33
12	1	 B40	M	648.80
12	1	 B41	M	813.23
12	1	 B42	M	668.08
12	1	 B43	M	920.18
12	1	 B44	M	653.08
12	1	 B45	M	621.33
12	1	 B46	M	634.19
12	1	 B47	M	860.98
12	1	 B48	M	552.42
12	1	 C01	M	386.91
12	1	 C02	M	826.25
12	1	 C03	M	601.11
12	1	 C04	M	677.97
12	1	 C05	M	639.92
12	1	 C06	M	1015.24
12	1	 C07	M	787.72
12	1	 C08	M	656.85
12	1	 C09	M	625.49
12	1	 C10	M	687.60
12	1	 C11	M	683.40
12	1	 C12	M	790.00
12	1	 C13	M	822.18
12	1	 C14	M	677.69
12	1	 C15	M	719.71
12	1	 C16	M	691.63
12	1	 C17	M	819.23
12	1	 C18	M	780.99
12	1	 C19	M	823.99
12	1	 C20	M	897.73
12	1	 C21	M	1008.17
12	1	 C22	M	913.91
12	1	 C23	M	807.78
12	1	 C24	M	871.48
12	1	 C25	M	976.05
12	1	 C26	M	823.19
12	1	 C27	M	970.27
12	1	 C28	M	1019.30
12	1	 C29	M	886.49
12	1	 C30	M	727.55
12	1	 C31	M	822.16
12	1	 C32	M	1101.69
12	1	 C33	M	1107.76
12	1	 C34	M	931.99
12	1	 C35	M	879.20
12	1	 C36	M	853.02
12	1	 C37	M	800.32
12	1	 C38	M	752.98
12	1	 C39	M	805.03
12	1	 C40	M	778.39
12	1	 C41	M	1207.47
12	1	 C42	M	1231.01
12	1	 C43	M	779.93
12	1	 C44	M	1237.09
12	1	 C45	M	1101.34
12	1	 C46	M	714.90
12	1	 C47	M	1247.09
12	1	 C48	M	1050.29
12	1	 D01	M	621.92
12	1	 D02	M	712.97
12	1	 D03	M	814.96
12	1	 D04	M	772.97
12	1	 D05	M	684.61
12	1	 D06	M	757.29
12	1	 D07	M	1073.22
12	1	 D08	M	815.45
12	1	 D09	M	626.81
12	1	 D10	M	912.90
12	1	 D11	M	763.77
12	1	 D12	M	847.53
12	1	 D13	M	1047.35
12	1	 D14	M	818.99
12	1	 D15	M	798.90
12	1	 D16	M	738.29
12	1	 D17	M	613.45
12	1	 D18	M	795.46
12	1	 D19	M	855.24
12	1	 D20	M	900.68
12	1	 D21	M	917.38
12	1	 D22	M	894.68
12	1	 D23	M	951.75
12	1	 D24	M	870.16
12	1	 D25	M	914.64
12	1	 D26	M	986.64
12	1	 D27	M	965.40
12	1	 D28	M	1112.01
12	1	 D29	M	930.64
12	1	 D30	M	751.14
12	1	 D31	M	872.00
12	1	 D32	M	1062.55
12	1	 D33	M	804.07
12	1	 D34	M	975.88
12	1	 D35	M	793.30
12	1	 D36	M	946.51
12	1	 D37	M	963.81
12	1	 D38	M	844.83
12	1	 D39	M	829.14
12	1	 D40	M	926.24
12	1	 D41	M	923.59
12	1	 D42	M	830.13
12	1	 D43	M	873.59
12	1	 D44	M	869.50
12	1	 D45	M	760.19
12	1	 D46	M	934.90
12	1	 D47	M	805.36
12	1	 D48	M	905.55
12	1	 E01	M	638.79
12	1	 E02	M	787.69
12	1	 E03	M	855.73
12	1	 E04	M	876.38
12	1	 E05	M	702.82
12	1	 E06	M	682.50
12	1	 E07	M	916.27
12	1	 E08	M	804.97
12	1	 E09	M	722.40
12	1	 E10	M	956.76
12	1	 E11	M	735.85
12	1	 E12	M	847.47
12	1	 E13	M	1046.88
12	1	 E14	M	870.88
12	1	 E15	M	763.88
12	1	 E16	M	899.34
12	1	 E17	M	855.66
12	1	 E18	M	799.83
12	1	 E19	M	793.41
12	1	 E20	M	681.68
12	1	 E21	M	880.92
12	1	 E22	M	849.59
12	1	 E23	M	739.64
12	1	 E24	M	839.86
12	1	 E25	M	896.41
12	1	 E26	M	758.98
12	1	 E27	M	830.23
12	1	 E28	M	805.65
12	1	 E29	M	822.29
12	1	 E30	M	820.65
12	1	 E31	M	921.11
12	1	 E32	M	833.65
12	1	 E33	M	801.60
12	1	 E34	M	855.90
12	1	 E35	M	864.35
12	1	 E36	M	789.47
12	1	 E37	M	849.45
12	1	 E38	M	834.39
12	1	 E39	M	1109.45
12	1	 E40	M	839.74
12	1	 E41	M	925.88
12	1	 E42	M	1096.64
12	1	 E43	M	861.15
12	1	 E44	M	907.98
12	1	 E45	M	1034.47
12	1	 E46	M	911.44
12	1	 E47	M	806.27
12	1	 E48	M	1260.23
12	1	 F01	M	530.23
12	1	 F02	M	513.32
12	1	 F03	M	706.19
12	1	 F04	M	608.25
12	1	 F05	M	962.62
12	1	 F06	M	907.16
12	1	 F07	M	758.96
12	1	 F08	M	1028.66
12	1	 F09	M	895.76
12	1	 F10	M	695.58
12	1	 F11	M	851.82
12	1	 F12	M	988.79
12	1	 F13	M	854.35
12	1	 F14	M	1049.00
12	1	 F15	M	1078.58
12	1	 F16	M	807.80
12	1	 F17	M	837.99
12	1	 F18	M	769.78
12	1	 F19	M	736.68
12	1	 F20	M	815.65
12	1	 F21	M	924.60
12	1	 F22	M	856.85
12	1	 F23	M	1004.14
12	1	 F24	M	1012.71
12	1	 F25	M	794.09
12	1	 F26	M	854.81
12	1	 F27	M	855.94
12	1	 F28	M	966.81
12	1	 F29	M	966.61
12	1	 F30	M	747.35
12	1	 F31	M	873.46
12	1	 F32	M	1012.74
12	1	 F33	M	846.24
12	1	 F34	M	1076.92
12	1	 F35	M	1140.84
12	1	 F36	M	867.71
12	1	 F37	M	939.66
12	1	 F38	M	893.31
12	1	 F39	M	832.64
12	1	 F40	M	933.21
12	1	 F41	M	872.73
12	1	 F42	M	1083.17
12	1	 F43	M	952.78
