;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
2	1	 A01	M	1422.45
2	1	 A02	M	1302.24
2	1	 A03	M	1470.79
2	1	 A04	M	1722.29
2	1	 A05	M	1659.39
2	1	 A06	M	1389.08
2	1	 A07	M	1623.97
2	1	 A08	M	1726.69
2	1	 A09	M	1677.50
2	1	 A10	M	1534.69
2	1	 A11	M	1791.98
2	1	 A12	M	1536.36
2	1	 A13	M	1780.97
2	1	 A14	M	1616.81
2	1	 A15	M	1807.59
2	1	 A16	M	1484.04
2	1	 A17	M	1806.12
2	1	 A18	M	1488.49
2	1	 A19	M	1860.40
2	1	 A20	M	1550.25
2	1	 A21	M	1839.15
2	1	 A22	M	1464.98
2	1	 A23	M	1823.68
2	1	 A24	M	1569.43
2	1	 A25	M	1756.55
2	1	 A26	M	1754.10
2	1	 A27	M	2123.95
2	1	 A28	M	1697.05
2	1	 A29	M	1646.66
2	1	 A30	M	1557.13
2	1	 A31	M	1707.54
2	1	 A32	M	1801.99
2	1	 A33	M	1753.09
2	1	 A34	M	1722.29
2	1	 A35	M	1768.31
2	1	 A36	M	1518.83
2	1	 A37	M	1575.98
2	1	 A38	M	1571.24
2	1	 A39	M	1595.60
2	1	 A40	M	1676.09
2	1	 A41	M	1733.17
2	1	 A42	M	1522.91
2	1	 A43	M	1542.29
2	1	 A44	M	1353.31
2	1	 A45	M	1607.39
2	1	 A46	M	1430.18
2	1	 A47	M	1509.48
2	1	 A48	M	1313.85
2	1	 B01	M	1555.07
2	1	 B02	M	1649.31
2	1	 B03	M	1666.35
2	1	 B04	M	1842.46
2	1	 B05	M	1835.67
2	1	 B06	M	1996.52
2	1	 B07	M	1867.31
2	1	 B08	M	1591.96
2	1	 B09	M	1983.65
2	1	 B10	M	1860.33
2	1	 B11	M	1816.60
2	1	 B12	M	1914.00
2	1	 B13	M	2000.66
2	1	 B14	M	2006.28
2	1	 B15	M	1765.97
2	1	 B16	M	1527.18
2	1	 B17	M	1711.08
2	1	 B18	M	1947.27
2	1	 B19	M	1759.62
2	1	 B20	M	1635.19
2	1	 B21	M	1623.23
2	1	 B22	M	1737.31
2	1	 B23	M	1650.54
2	1	 B24	M	1743.80
2	1	 B25	M	1791.29
2	1	 B26	M	1649.39
2	1	 B27	M	1586.66
2	1	 B28	M	1835.67
2	1	 B29	M	1847.20
2	1	 B30	M	2119.99
2	1	 B31	M	2021.46
2	1	 B32	M	1759.53
2	1	 B33	M	1860.77
2	1	 B34	M	1794.37
2	1	 B35	M	1625.64
2	1	 B36	M	1881.50
2	1	 B37	M	1616.69
2	1	 B38	M	1820.93
2	1	 B39	M	1534.01
2	1	 B40	M	1715.04
2	1	 B41	M	1613.80
2	1	 B42	M	1670.09
2	1	 B43	M	1570.74
2	1	 B44	M	1871.19
2	1	 B45	M	2153.33
2	1	 B46	M	1607.42
2	1	 B47	M	1652.22
2	1	 B48	M	1242.71
2	1	 C01	M	1856.81
2	1	 C02	M	1753.21
2	1	 C03	M	1763.41
2	1	 C04	M	1716.24
2	1	 C05	M	1684.31
2	1	 C06	M	1692.73
2	1	 C07	M	1743.55
2	1	 C08	M	1847.90
2	1	 C09	M	1837.28
2	1	 C10	M	2022.00
2	1	 C11	M	1691.51
2	1	 C12	M	1907.44
2	1	 C13	M	1841.72
2	1	 C14	M	1774.67
2	1	 C15	M	1802.29
2	1	 C16	M	1760.54
2	1	 C17	M	1988.69
2	1	 C18	M	1645.07
2	1	 C19	M	1794.11
2	1	 C20	M	1709.62
2	1	 C21	M	1769.78
2	1	 C22	M	1700.92
2	1	 C23	M	1762.35
2	1	 C24	M	1745.78
2	1	 C25	M	1583.64
2	1	 C26	M	1664.78
2	1	 C27	M	1967.89
2	1	 C28	M	1913.95
2	1	 C29	M	1935.89
2	1	 C30	M	1906.03
2	1	 C31	M	1926.89
2	1	 C32	M	1824.73
2	1	 C33	M	1697.21
2	1	 C34	M	1944.58
2	1	 C35	M	1756.81
2	1	 C36	M	1644.81
2	1	 C37	M	1767.52
2	1	 C38	M	1812.09
2	1	 C39	M	1706.34
