;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
13	1	 A01	M	260.37
13	1	 A02	M	245.21
13	1	 A03	M	273.41
13	1	 A04	M	170.45
13	1	 A05	M	264.36
13	1	 A06	M	248.18
13	1	 A07	M	336.12
13	1	 A08	M	206.74
13	1	 A09	M	284.68
13	1	 A10	M	259.30
13	1	 A11	M	399.08
13	1	 A12	M	225.73
13	1	 A13	M	307.34
13	1	 A14	M	234.36
13	1	 A15	M	268.23
13	1	 A16	M	301.70
13	1	 A17	M	282.39
13	1	 A18	M	200.44
13	1	 A19	M	353.85
13	1	 A20	M	268.45
13	1	 A21	M	420.49
13	1	 A22	M	248.38
13	1	 A23	M	287.74
13	1	 A24	M	197.01
13	1	 A25	M	350.27
13	1	 A26	M	219.71
13	1	 A27	M	363.91
13	1	 A28	M	204.07
13	1	 A29	M	349.83
13	1	 A30	M	205.86
13	1	 A31	M	317.43
13	1	 A32	M	210.26
13	1	 A33	M	326.97
13	1	 A34	M	244.91
13	1	 A35	M	326.35
13	1	 A36	M	290.84
13	1	 A37	M	325.66
13	1	 A38	M	225.73
13	1	 A39	M	326.06
13	1	 A40	M	226.38
13	1	 A41	M	283.88
13	1	 A42	M	294.63
13	1	 A43	M	292.23
13	1	 A44	M	233.47
13	1	 A45	M	302.76
13	1	 A46	M	254.79
13	1	 A47	M	316.00
13	1	 A48	M	158.03
13	1	 B01	M	348.57
13	1	 B02	M	357.71
13	1	 B03	M	281.36
13	1	 B04	M	296.33
13	1	 B05	M	337.21
13	1	 B06	M	275.16
13	1	 B07	M	395.63
13	1	 B08	M	383.82
13	1	 B09	M	301.85
13	1	 B10	M	298.43
13	1	 B11	M	312.20
13	1	 B12	M	363.53
13	1	 B13	M	376.66
13	1	 B14	M	296.16
13	1	 B15	M	329.28
13	1	 B16	M	331.52
13	1	 B17	M	385.31
13	1	 B18	M	305.92
13	1	 B19	M	391.49
13	1	 B20	M	327.21
13	1	 B21	M	406.70
13	1	 B22	M	343.19
13	1	 B23	M	456.23
13	1	 B24	M	365.85
13	1	 B25	M	347.35
13	1	 B26	M	469.79
13	1	 B27	M	323.06
13	1	 B28	M	340.27
13	1	 B29	M	281.92
13	1	 B30	M	361.08
13	1	 B31	M	304.45
13	1	 B32	M	404.23
13	1	 B33	M	411.99
13	1	 B34	M	323.12
13	1	 B35	M	402.98
13	1	 B36	M	353.31
13	1	 B37	M	361.98
13	1	 B38	M	278.46
13	1	 B39	M	458.77
13	1	 B40	M	300.21
13	1	 B41	M	400.73
13	1	 B42	M	295.10
13	1	 B43	M	628.22
13	1	 B44	M	338.00
13	1	 B45	M	337.01
13	1	 B46	M	265.71
13	1	 B47	M	336.31
13	1	 B48	M	255.51
13	1	 C01	M	496.60
13	1	 C02	M	391.23
13	1	 C03	M	336.70
13	1	 C04	M	303.88
13	1	 C05	M	541.30
13	1	 C06	M	376.62
13	1	 C07	M	346.73
13	1	 C08	M	356.11
13	1	 C09	M	380.98
13	1	 C10	M	474.51
13	1	 C11	M	424.66
13	1	 C12	M	431.65
13	1	 C13	M	358.00
13	1	 C14	M	330.42
13	1	 C15	M	379.33
13	1	 C16	M	334.00
13	1	 C17	M	376.13
13	1	 C18	M	400.92
13	1	 C19	M	307.36
13	1	 C20	M	382.12
13	1	 C21	M	328.29
13	1	 C22	M	411.34
13	1	 C23	M	608.20
13	1	 C24	M	359.19
13	1	 C25	M	307.89
13	1	 C26	M	357.40
13	1	 C27	M	426.76
13	1	 C28	M	551.82
13	1	 C29	M	365.46
13	1	 C30	M	363.11
13	1	 C31	M	362.74
13	1	 C32	M	415.30
13	1	 C33	M	393.96
13	1	 C34	M	419.83
13	1	 C35	M	348.53
13	1	 C36	M	376.07
13	1	 C37	M	296.68
13	1	 C38	M	379.41
13	1	 C39	M	391.98
13	1	 C40	M	444.93
13	1	 C41	M	346.81
13	1	 C42	M	433.96
13	1	 C43	M	377.94
13	1	 C44	M	383.01
13	1	 C45	M	302.64
13	1	 C46	M	493.14
13	1	 C47	M	508.24
13	1	 C48	M	347.76
13	1	 D01	M	348.57
13	1	 D02	M	387.94
13	1	 D03	M	324.98
13	1	 D04	M	383.82
13	1	 D05	M	370.97
13	1	 D06	M	451.03
13	1	 D07	M	409.73
13	1	 D08	M	338.92
13	1	 D09	M	372.99
13	1	 D10	M	378.08
13	1	 D11	M	358.43
13	1	 D12	M	352.92
13	1	 D13	M	372.88
13	1	 D14	M	348.82
13	1	 D15	M	293.10
13	1	 D16	M	359.85
13	1	 D17	M	438.33
13	1	 D18	M	463.90
13	1	 D19	M	298.71
13	1	 D20	M	494.93
13	1	 D21	M	419.64
13	1	 D22	M	310.32
13	1	 D23	M	365.40
13	1	 D24	M	350.21
13	1	 D25	M	332.24
13	1	 D26	M	357.27
13	1	 D27	M	314.17
13	1	 D28	M	414.21
13	1	 D29	M	354.44
13	1	 D30	M	462.22
13	1	 D31	M	306.70
13	1	 D32	M	391.93
13	1	 D33	M	372.98
13	1	 D34	M	432.15
13	1	 D35	M	432.87
13	1	 D36	M	432.03
13	1	 D37	M	321.89
13	1	 D38	M	512.02
13	1	 D39	M	375.24
13	1	 D40	M	596.57
13	1	 D41	M	304.89
13	1	 D42	M	397.12
13	1	 D43	M	397.37
13	1	 D44	M	378.54
13	1	 D45	M	406.55
13	1	 D46	M	366.96
13	1	 D47	M	278.32
13	1	 D48	M	301.29
13	1	 E01	M	409.84
13	1	 E02	M	381.98
13	1	 E03	M	369.74
13	1	 E04	M	302.41
13	1	 E05	M	421.17
13	1	 E06	M	331.60
13	1	 E07	M	384.21
13	1	 E08	M	362.01
13	1	 E09	M	284.75
13	1	 E10	M	407.29
13	1	 E11	M	348.02
13	1	 E12	M	308.91
13	1	 E13	M	335.18
13	1	 E14	M	329.33
13	1	 E15	M	393.57
13	1	 E16	M	382.82
13	1	 E17	M	359.96
13	1	 E18	M	347.44
13	1	 E19	M	461.85
13	1	 E20	M	484.02
13	1	 E21	M	340.70
13	1	 E22	M	318.71
13	1	 E23	M	335.79
13	1	 E24	M	352.26
13	1	 E25	M	342.72
13	1	 E26	M	387.76
13	1	 E27	M	352.30
13	1	 E28	M	385.51
13	1	 E29	M	448.85
13	1	 E30	M	469.95
13	1	 E31	M	375.40
13	1	 E32	M	443.55
13	1	 E33	M	350.26
13	1	 E34	M	388.62
13	1	 E35	M	420.64
13	1	 E36	M	344.32
13	1	 E37	M	467.67
13	1	 E38	M	315.26
13	1	 E39	M	339.91
13	1	 E40	M	370.52
13	1	 E41	M	358.96
13	1	 E42	M	409.74
13	1	 E43	M	333.07
13	1	 E44	M	361.56
13	1	 E45	M	346.14
13	1	 E46	M	430.31
13	1	 E47	M	349.53
13	1	 E48	M	285.42
13	1	 F01	M	576.78
13	1	 F02	M	371.93
13	1	 F03	M	383.01
13	1	 F04	M	282.19
13	1	 F05	M	307.65
13	1	 F06	M	375.83
13	1	 F07	M	330.19
13	1	 F08	M	461.98
13	1	 F09	M	372.98
13	1	 F10	M	421.40
13	1	 F11	M	374.29
13	1	 F12	M	324.09
13	1	 F13	M	333.67
13	1	 F14	M	455.31
13	1	 F15	M	413.62
13	1	 F16	M	390.95
13	1	 F17	M	339.26
13	1	 F18	M	299.79
13	1	 F19	M	310.45
13	1	 F20	M	368.18
13	1	 F21	M	343.94
13	1	 F22	M	349.94
13	1	 F23	M	330.56
13	1	 F24	M	294.98
13	1	 F25	M	371.14
13	1	 F26	M	348.14
13	1	 F27	M	365.21
13	1	 F28	M	402.32
13	1	 F29	M	435.61
13	1	 F30	M	393.20
13	1	 F31	M	355.68
13	1	 F32	M	345.41
13	1	 F33	M	356.20
13	1	 F34	M	336.33
13	1	 F35	M	435.55
13	1	 F36	M	349.06
13	1	 F37	M	504.49
13	1	 F38	M	327.64
13	1	 F39	M	349.32
13	1	 F40	M	306.02
