;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
14	1	 A01	M	310.87
14	1	 A02	M	202.05
14	1	 A03	M	223.00
14	1	 A04	M	192.88
14	1	 A05	M	269.63
14	1	 A06	M	202.47
14	1	 A07	M	262.96
14	1	 A08	M	223.71
14	1	 A09	M	252.44
14	1	 A10	M	239.60
14	1	 A11	M	314.93
14	1	 A12	M	245.90
14	1	 A13	M	266.95
14	1	 A14	M	246.33
14	1	 A15	M	303.04
14	1	 A16	M	217.58
14	1	 A17	M	314.22
14	1	 A18	M	217.14
14	1	 A19	M	204.87
14	1	 A20	M	240.34
14	1	 A21	M	293.62
14	1	 A22	M	200.89
14	1	 A23	M	359.23
14	1	 A24	M	321.97
14	1	 A25	M	283.31
14	1	 A26	M	194.55
14	1	 A27	M	306.05
14	1	 A28	M	216.62
14	1	 A29	M	218.88
14	1	 A30	M	276.87
14	1	 A31	M	252.68
14	1	 A32	M	253.84
14	1	 A33	M	241.51
14	1	 A34	M	269.55
14	1	 A35	M	258.46
14	1	 A36	M	220.20
14	1	 A37	M	269.29
14	1	 A38	M	223.75
14	1	 A39	M	329.03
14	1	 A40	M	213.79
14	1	 A41	M	249.43
14	1	 A42	M	193.30
14	1	 A43	M	259.50
14	1	 A44	M	215.61
14	1	 A45	M	274.48
14	1	 A46	M	239.35
14	1	 A47	M	262.71
14	1	 A48	M	188.34
14	1	 B01	M	365.98
14	1	 B02	M	382.77
14	1	 B03	M	248.75
14	1	 B04	M	218.80
14	1	 B05	M	260.94
14	1	 B06	M	237.28
14	1	 B07	M	297.38
14	1	 B08	M	275.74
14	1	 B09	M	335.43
14	1	 B10	M	304.27
14	1	 B11	M	300.16
14	1	 B12	M	262.60
14	1	 B13	M	350.68
14	1	 B14	M	281.65
14	1	 B15	M	300.47
14	1	 B16	M	280.04
14	1	 B17	M	286.74
14	1	 B18	M	297.25
14	1	 B19	M	363.87
14	1	 B20	M	242.77
14	1	 B21	M	281.72
14	1	 B22	M	229.31
14	1	 B23	M	372.49
14	1	 B24	M	287.04
14	1	 B25	M	282.10
14	1	 B26	M	226.33
14	1	 B27	M	383.60
14	1	 B28	M	262.91
14	1	 B29	M	247.46
14	1	 B30	M	258.55
14	1	 B31	M	337.46
14	1	 B32	M	267.74
14	1	 B33	M	306.86
14	1	 B34	M	275.32
14	1	 B35	M	307.84
14	1	 B36	M	240.45
14	1	 B37	M	316.41
14	1	 B38	M	311.83
14	1	 B39	M	257.84
14	1	 B40	M	236.90
14	1	 B41	M	286.52
14	1	 B42	M	300.11
14	1	 B43	M	272.51
14	1	 B44	M	234.98
14	1	 B45	M	296.68
14	1	 B46	M	280.48
14	1	 B47	M	327.70
14	1	 B48	M	219.73
14	1	 C01	M	302.83
14	1	 C02	M	397.55
14	1	 C03	M	337.56
14	1	 C04	M	281.17
14	1	 C05	M	277.32
14	1	 C06	M	329.82
14	1	 C07	M	442.46
14	1	 C08	M	259.54
14	1	 C09	M	273.45
14	1	 C10	M	358.74
14	1	 C11	M	367.71
14	1	 C12	M	362.82
14	1	 C13	M	352.50
14	1	 C14	M	276.69
14	1	 C15	M	284.33
14	1	 C16	M	280.61
14	1	 C17	M	250.61
14	1	 C18	M	304.00
14	1	 C19	M	284.07
14	1	 C20	M	237.20
14	1	 C21	M	315.17
14	1	 C22	M	302.49
14	1	 C23	M	358.81
14	1	 C24	M	336.96
14	1	 C25	M	396.24
14	1	 C26	M	284.19
14	1	 C27	M	261.39
14	1	 C28	M	314.15
14	1	 C29	M	313.55
14	1	 C30	M	295.94
14	1	 C31	M	288.90
14	1	 C32	M	312.34
14	1	 C33	M	329.74
14	1	 C34	M	246.07
14	1	 C35	M	294.31
14	1	 C36	M	321.14
14	1	 C37	M	315.53
14	1	 C38	M	296.83
14	1	 C39	M	332.73
14	1	 C40	M	312.62
14	1	 C41	M	325.74
14	1	 C42	M	333.78
14	1	 C43	M	303.90
14	1	 C44	M	304.61
14	1	 C45	M	331.74
14	1	 C46	M	310.06
14	1	 C47	M	311.58
14	1	 C48	M	283.10
14	1	 D01	M	297.60
14	1	 D02	M	370.91
14	1	 D03	M	357.55
14	1	 D04	M	236.02
14	1	 D05	M	289.78
14	1	 D06	M	341.29
14	1	 D07	M	272.65
14	1	 D08	M	289.26
14	1	 D09	M	255.49
14	1	 D10	M	322.85
14	1	 D11	M	391.56
14	1	 D12	M	304.16
14	1	 D13	M	281.34
14	1	 D14	M	311.07
14	1	 D15	M	321.37
14	1	 D16	M	301.93
14	1	 D17	M	279.31
14	1	 D18	M	370.94
14	1	 D19	M	288.96
14	1	 D20	M	302.15
14	1	 D21	M	338.49
14	1	 D22	M	279.29
14	1	 D23	M	274.99
14	1	 D24	M	282.71
14	1	 D25	M	278.75
14	1	 D26	M	363.39
14	1	 D27	M	325.24
14	1	 D28	M	371.29
