;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
8	1	 A01	M	2356.84
8	1	 A02	M	2092.16
8	1	 A03	M	1575.23
8	1	 A04	M	1586.40
8	1	 A05	M	2151.33
8	1	 A06	M	2219.54
8	1	 A07	M	2549.08
8	1	 A08	M	2531.35
8	1	 A09	M	2588.77
8	1	 A10	M	2797.53
8	1	 A11	M	2779.05
8	1	 A12	M	2621.07
8	1	 A13	M	2639.59
8	1	 A14	M	2531.88
8	1	 A15	M	2672.43
8	1	 A16	M	2704.90
8	1	 A17	M	2711.08
8	1	 A18	M	2787.24
8	1	 A19	M	2663.92
8	1	 A20	M	2794.53
8	1	 A21	M	2716.38
8	1	 A22	M	2662.38
8	1	 A23	M	2749.77
8	1	 A24	M	2835.47
8	1	 A25	M	2697.98
8	1	 A26	M	2549.60
8	1	 A27	M	2802.64
8	1	 A28	M	2664.99
8	1	 A29	M	2691.76
8	1	 A30	M	2834.64
8	1	 A31	M	2584.93
8	1	 A32	M	2691.44
8	1	 A33	M	2454.34
8	1	 A34	M	2591.31
8	1	 A35	M	2644.66
8	1	 A36	M	2622.04
8	1	 A37	M	2483.54
8	1	 A38	M	2512.79
8	1	 A39	M	2502.94
8	1	 A40	M	2512.13
8	1	 A41	M	2581.31
8	1	 A42	M	2504.90
8	1	 A43	M	2432.18
8	1	 A44	M	2523.00
8	1	 A45	M	2815.91
8	1	 A46	M	2711.15
8	1	 A47	M	2487.26
8	1	 A48	M	2648.12
8	1	 B01	M	2532.13
8	1	 B02	M	2084.62
8	1	 B03	M	2054.20
8	1	 B04	M	2010.97
8	1	 B05	M	2546.33
8	1	 B06	M	2541.08
8	1	 B07	M	2691.35
8	1	 B08	M	2644.93
8	1	 B09	M	2735.26
8	1	 B10	M	2692.23
8	1	 B11	M	2580.69
8	1	 B12	M	2674.35
8	1	 B13	M	2489.17
8	1	 B14	M	2566.49
8	1	 B15	M	2666.55
8	1	 B16	M	2749.28
8	1	 B17	M	2505.05
8	1	 B18	M	2777.44
8	1	 B19	M	2649.26
8	1	 B20	M	2676.00
8	1	 B21	M	2649.07
8	1	 B22	M	2587.94
8	1	 B23	M	2589.42
8	1	 B24	M	2693.03
8	1	 B25	M	2578.19
8	1	 B26	M	2673.40
8	1	 B27	M	2841.37
8	1	 B28	M	2702.14
8	1	 B29	M	2597.40
8	1	 B30	M	2730.98
8	1	 B31	M	2497.94
8	1	 B32	M	2666.10
8	1	 B33	M	2574.70
8	1	 B34	M	2725.91
8	1	 B35	M	2428.90
8	1	 B36	M	2515.66
8	1	 B37	M	2655.74
8	1	 B38	M	2451.51
8	1	 B39	M	2477.71
8	1	 B40	M	2477.89
8	1	 B41	M	2468.18
8	1	 B42	M	2664.80
8	1	 B43	M	2256.87
8	1	 B44	M	2522.95
8	1	 B45	M	2571.08
8	1	 B46	M	2450.20
8	1	 B47	M	2493.94
8	1	 B48	M	2634.97
8	1	 C01	M	2451.47
8	1	 C02	M	2581.43
8	1	 C03	M	2133.48
8	1	 C04	M	2278.73
8	1	 C05	M	2786.26
8	1	 C06	M	2707.70
8	1	 C07	M	2510.92
8	1	 C08	M	2610.43
8	1	 C09	M	2582.13
8	1	 C10	M	2531.83
8	1	 C11	M	2715.55
8	1	 C12	M	2578.02
8	1	 C13	M	2584.11
8	1	 C14	M	2690.53
8	1	 C15	M	2633.05
8	1	 C16	M	2721.57
8	1	 C17	M	2807.56
8	1	 C18	M	2539.01
8	1	 C19	M	2675.50
8	1	 C20	M	2659.16
8	1	 C21	M	2713.71
8	1	 C22	M	2695.78
8	1	 C23	M	2731.37
8	1	 C24	M	2684.47
8	1	 C25	M	2746.79
8	1	 C26	M	2736.75
8	1	 C27	M	2677.25
8	1	 C28	M	2720.30
8	1	 C29	M	2638.61
8	1	 C30	M	2625.68
8	1	 C31	M	2659.26
8	1	 C32	M	2352.01
8	1	 C33	M	2546.34
8	1	 C34	M	2512.95
