;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
10	1	 A01	M	2781.76
10	1	 A02	M	2670.78
10	1	 A03	M	2888.58
10	1	 A04	M	2838.41
10	1	 A05	M	2602.39
10	1	 A06	M	2487.37
10	1	 A07	M	2805.94
10	1	 A08	M	2671.10
10	1	 A09	M	2635.58
10	1	 A10	M	2810.48
10	1	 A11	M	2772.58
10	1	 A12	M	2808.26
10	1	 A13	M	2751.70
10	1	 A14	M	2650.61
10	1	 A15	M	2652.44
10	1	 A16	M	2703.78
10	1	 A17	M	2806.21
10	1	 A18	M	2734.26
10	1	 A19	M	2687.19
10	1	 A20	M	2757.33
10	1	 A21	M	2548.26
10	1	 A22	M	2806.80
10	1	 A23	M	2631.68
10	1	 A24	M	2684.61
10	1	 A25	M	2778.15
10	1	 A26	M	2750.70
10	1	 A27	M	2700.22
10	1	 A28	M	2648.04
10	1	 A29	M	2658.90
10	1	 A30	M	2837.37
10	1	 A31	M	2686.93
10	1	 A32	M	2686.97
10	1	 A33	M	2630.19
10	1	 A34	M	2579.22
10	1	 A35	M	2677.41
10	1	 A36	M	2585.84
10	1	 A37	M	2617.37
10	1	 A38	M	2544.84
10	1	 A39	M	2553.49
10	1	 A40	M	2670.40
10	1	 A41	M	2583.97
10	1	 A42	M	2762.68
10	1	 A43	M	2625.28
10	1	 A44	M	2755.72
10	1	 A45	M	2708.46
10	1	 A46	M	2874.54
10	1	 A47	M	2892.23
10	1	 A48	M	2738.85
10	1	 B01	M	2721.70
10	1	 B02	M	2688.45
10	1	 B03	M	2698.31
10	1	 B04	M	2724.57
10	1	 B05	M	2604.44
10	1	 B06	M	2623.55
10	1	 B07	M	2567.49
10	1	 B08	M	2634.48
10	1	 B09	M	2631.50
10	1	 B10	M	2756.47
10	1	 B11	M	2821.76
10	1	 B12	M	2736.96
10	1	 B13	M	2682.30
10	1	 B14	M	2685.20
10	1	 B15	M	2647.54
10	1	 B16	M	2576.07
10	1	 B17	M	2558.45
10	1	 B18	M	2712.01
10	1	 B19	M	2698.39
10	1	 B20	M	2662.32
10	1	 B21	M	2653.28
10	1	 B22	M	2553.53
10	1	 B23	M	2713.83
10	1	 B24	M	2735.41
10	1	 B25	M	2714.99
10	1	 B26	M	2745.88
10	1	 B27	M	2689.10
10	1	 B28	M	2791.17
10	1	 B29	M	2677.83
10	1	 B30	M	2596.22
10	1	 B31	M	2699.72
10	1	 B32	M	2672.21
10	1	 B33	M	2491.40
10	1	 B34	M	2663.20
10	1	 B35	M	2498.26
10	1	 B36	M	2433.36
10	1	 B37	M	2555.38
10	1	 B38	M	2589.66
10	1	 B39	M	2544.18
10	1	 B40	M	2469.95
10	1	 B41	M	2585.17
10	1	 B42	M	2584.96
10	1	 B43	M	2562.00
10	1	 B44	M	2503.87
10	1	 B45	M	2572.84
10	1	 B46	M	2529.33
10	1	 B47	M	2685.89
10	1	 B48	M	2865.52
10	1	 C01	M	2821.70
10	1	 C02	M	2647.90
10	1	 C03	M	2531.97
10	1	 C04	M	2707.81
10	1	 C05	M	2656.13
10	1	 C06	M	2621.77
10	1	 C07	M	2814.90
10	1	 C08	M	2673.15
10	1	 C09	M	2526.33
10	1	 C10	M	2796.18
10	1	 C11	M	2524.13
