;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
14	1	 A01	M	2081.20
14	1	 A02	M	605.69
14	1	 A03	M	413.90
14	1	 A04	M	990.21
14	1	 A05	M	1163.92
14	1	 A06	M	1889.15
14	1	 A07	M	2268.37
14	1	 A08	M	2404.95
14	1	 A09	M	2655.65
14	1	 A10	M	2529.69
14	1	 A11	M	2583.95
14	1	 A12	M	2533.12
14	1	 A13	M	2590.47
14	1	 A14	M	2691.39
14	1	 A15	M	2565.71
14	1	 A16	M	2636.83
14	1	 A17	M	2602.23
14	1	 A18	M	2639.16
14	1	 A19	M	2529.11
14	1	 A20	M	2577.59
14	1	 A21	M	2550.60
14	1	 A22	M	2687.48
14	1	 A23	M	2692.49
14	1	 A24	M	2658.64
14	1	 A25	M	2527.88
14	1	 A26	M	1063.54
14	1	 A27	M	1199.68
14	1	 A28	M	1045.16
14	1	 A29	M	1204.80
14	1	 A30	M	1806.33
14	1	 A31	M	1822.17
14	1	 A32	M	2488.34
14	1	 A33	M	2673.61
14	1	 A34	M	2672.52
14	1	 A35	M	2683.19
14	1	 A36	M	2671.71
14	1	 A37	M	2584.53
14	1	 A38	M	2643.05
14	1	 A39	M	2690.47
14	1	 A40	M	2620.60
14	1	 A41	M	2547.53
14	1	 A42	M	2708.36
14	1	 A43	M	2845.94
14	1	 A44	M	2783.52
14	1	 A45	M	2963.91
14	1	 A46	M	2813.56
14	1	 A47	M	2854.00
14	1	 A48	M	2460.48
14	1	 B01	M	2709.30
14	1	 B02	M	2405.81
14	1	 B03	M	2413.36
14	1	 B04	M	2481.08
14	1	 B05	M	2405.00
14	1	 B06	M	2592.73
14	1	 B07	M	2535.72
14	1	 B08	M	2300.60
14	1	 B09	M	2520.15
14	1	 B10	M	2660.32
14	1	 B11	M	2523.41
14	1	 B12	M	2527.98
14	1	 B13	M	2621.41
14	1	 B14	M	2559.77
14	1	 B15	M	2455.91
14	1	 B16	M	2528.48
14	1	 B17	M	2504.94
14	1	 B18	M	2567.26
14	1	 B19	M	2468.12
14	1	 B20	M	2531.73
14	1	 B21	M	2570.19
14	1	 B22	M	2596.96
14	1	 B23	M	2526.15
14	1	 B24	M	2592.51
14	1	 B25	M	2436.58
14	1	 B26	M	2382.99
14	1	 B27	M	2507.05
14	1	 B28	M	2445.41
14	1	 B29	M	2362.02
14	1	 B30	M	2675.73
14	1	 B31	M	2534.01
14	1	 B32	M	2462.80
14	1	 B33	M	2481.76
14	1	 B34	M	2552.37
14	1	 B35	M	2565.45
14	1	 B36	M	2466.07
14	1	 B37	M	2561.05
14	1	 B38	M	2367.56
14	1	 B39	M	2454.20
14	1	 B40	M	2297.49
14	1	 B41	M	2479.01
14	1	 B42	M	2584.94
14	1	 B43	M	2517.36
14	1	 B44	M	2483.88
14	1	 B45	M	2641.25
14	1	 B46	M	2439.08
14	1	 B47	M	2795.73
14	1	 B48	M	2689.56
14	1	 C01	M	2942.98
14	1	 C02	M	2498.60
14	1	 C03	M	2499.88
14	1	 C04	M	2411.14
14	1	 C05	M	2411.34
14	1	 C06	M	2543.50
14	1	 C07	M	2599.40
14	1	 C08	M	2545.95
14	1	 C09	M	2550.86
14	1	 C10	M	2595.28
14	1	 C11	M	2549.94
14	1	 C12	M	2598.15
14	1	 C13	M	2524.58
14	1	 C14	M	2530.40
14	1	 C15	M	2448.25
14	1	 C16	M	2216.49
14	1	 C17	M	2648.49
14	1	 C18	M	2484.15
14	1	 C19	M	2489.97
14	1	 C20	M	2638.05
14	1	 C21	M	2432.59
14	1	 C22	M	2353.74
14	1	 C23	M	2461.40
14	1	 C24	M	2536.07
14	1	 C25	M	2501.55
14	1	 C26	M	2537.70
14	1	 C27	M	2536.29
14	1	 C28	M	2528.05
14	1	 C29	M	2591.71
14	1	 C30	M	2392.14
14	1	 C31	M	2596.89
14	1	 C32	M	2531.34
14	1	 C33	M	2495.64
14	1	 C34	M	2521.16
14	1	 C35	M	2480.55
14	1	 C36	M	2373.13
14	1	 C37	M	2334.43
14	1	 C38	M	2395.16
14	1	 C39	M	2402.95
14	1	 C40	M	2346.01
14	1	 C41	M	2483.68
14	1	 C42	M	2528.06
14	1	 C43	M	2421.06
14	1	 C44	M	2387.18
14	1	 C45	M	2378.87
14	1	 C46	M	2449.78
14	1	 C47	M	2584.24
14	1	 C48	M	2676.97
14	1	 D01	M	3003.55
14	1	 D02	M	2547.57
14	1	 D03	M	2612.45
14	1	 D04	M	2354.49
