;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
7	1	 A01	M	2938.69
7	1	 A02	M	2825.88
7	1	 A03	M	2591.69
7	1	 A04	M	2563.92
7	1	 A05	M	2435.71
7	1	 A06	M	2578.73
7	1	 A07	M	2482.00
7	1	 A08	M	2479.28
7	1	 A09	M	2514.10
7	1	 A10	M	2600.89
7	1	 A11	M	2547.84
7	1	 A12	M	2726.66
7	1	 A13	M	2508.51
7	1	 A14	M	2564.22
7	1	 A15	M	2682.94
7	1	 A16	M	2614.90
7	1	 A17	M	2739.78
7	1	 A18	M	2550.23
7	1	 A19	M	2476.07
7	1	 A20	M	2684.94
7	1	 A21	M	2621.28
7	1	 A22	M	2441.86
7	1	 A23	M	2559.78
7	1	 A24	M	2378.13
7	1	 A25	M	2474.39
7	1	 A26	M	2672.79
7	1	 A27	M	2357.32
7	1	 A28	M	2480.36
7	1	 A29	M	2739.15
7	1	 A30	M	2495.40
7	1	 A31	M	2421.03
7	1	 A32	M	2701.52
7	1	 A33	M	2705.43
7	1	 A34	M	2387.10
7	1	 A35	M	2592.66
7	1	 A36	M	2355.22
7	1	 A37	M	2430.97
7	1	 A38	M	2579.62
7	1	 A39	M	2685.79
7	1	 A40	M	2456.43
7	1	 A41	M	2485.36
7	1	 A42	M	2687.70
7	1	 A43	M	2659.80
7	1	 A44	M	2573.39
7	1	 A45	M	2667.77
7	1	 A46	M	2706.17
7	1	 A47	M	2782.33
7	1	 A48	M	2689.26
7	1	 B01	M	2519.44
7	1	 B02	M	2668.85
7	1	 B03	M	2544.43
7	1	 B04	M	2437.68
7	1	 B05	M	2316.29
7	1	 B06	M	2377.69
7	1	 B07	M	2460.57
7	1	 B08	M	2536.05
7	1	 B09	M	2266.98
7	1	 B10	M	2464.05
7	1	 B11	M	2491.87
7	1	 B12	M	2490.28
7	1	 B13	M	2404.13
7	1	 B14	M	2559.74
7	1	 B15	M	2378.83
7	1	 B16	M	2404.20
7	1	 B17	M	2253.87
7	1	 B18	M	2555.29
7	1	 B19	M	2650.62
7	1	 B20	M	2508.44
7	1	 B21	M	2500.19
7	1	 B22	M	2377.53
7	1	 B23	M	2520.72
7	1	 B24	M	2191.83
7	1	 B25	M	2376.71
7	1	 B26	M	2337.61
7	1	 B27	M	2514.22
7	1	 B28	M	2364.95
7	1	 B29	M	2470.11
7	1	 B30	M	2414.42
7	1	 B31	M	2439.54
7	1	 B32	M	2392.20
7	1	 B33	M	2308.07
7	1	 B34	M	2581.50
7	1	 B35	M	2170.68
7	1	 B36	M	2513.92
7	1	 B37	M	2332.54
7	1	 B38	M	2246.40
7	1	 B39	M	2351.57
7	1	 B40	M	2384.76
7	1	 B41	M	2474.06
7	1	 B42	M	2402.39
7	1	 B43	M	2299.17
7	1	 B44	M	2307.69
7	1	 B45	M	2374.35
7	1	 B46	M	2423.88
7	1	 B47	M	2696.48
7	1	 B48	M	2696.68
7	1	 C01	M	2618.95
7	1	 C02	M	2687.82
7	1	 C03	M	2466.07
7	1	 C04	M	2630.89
7	1	 C05	M	2506.73
7	1	 C06	M	2549.29
7	1	 C07	M	2485.26
7	1	 C08	M	2605.91
7	1	 C09	M	2418.06
7	1	 C10	M	2414.86
7	1	 C11	M	2335.80
7	1	 C12	M	2514.40
7	1	 C13	M	2411.87
7	1	 C14	M	2351.58
7	1	 C15	M	2479.87
7	1	 C16	M	2397.55
7	1	 C17	M	2485.14
7	1	 C18	M	2553.56
7	1	 C19	M	2498.87
7	1	 C20	M	2508.00
7	1	 C21	M	2499.38
7	1	 C22	M	2464.84
7	1	 C23	M	2289.56
7	1	 C24	M	2503.14
7	1	 C25	M	2482.71
7	1	 C26	M	2139.51
7	1	 C27	M	2559.18
7	1	 C28	M	2377.87
7	1	 C29	M	2463.43
7	1	 C30	M	2512.92
7	1	 C31	M	2290.72
7	1	 C32	M	2358.59
7	1	 C33	M	2498.20
7	1	 C34	M	2511.55
7	1	 C35	M	2349.12
7	1	 C36	M	2291.11
7	1	 C37	M	2541.53
7	1	 C38	M	2607.05
7	1	 C39	M	2417.71
7	1	 C40	M	2337.92
7	1	 C41	M	2302.44
7	1	 C42	M	2323.12
7	1	 C43	M	2276.17
7	1	 C44	M	2494.26
7	1	 C45	M	2436.25
7	1	 C46	M	2422.83
7	1	 C47	M	2362.29
7	1	 C48	M	2873.98
7	1	 D01	M	2541.37
7	1	 D02	M	2546.32
7	1	 D03	M	2389.32
7	1	 D04	M	2469.78
7	1	 D05	M	2292.49
7	1	 D06	M	2563.40
7	1	 D07	M	2578.35
7	1	 D08	M	2465.52
7	1	 D09	M	2426.69
7	1	 D10	M	2498.89
7	1	 D11	M	2519.31
7	1	 D12	M	2194.91
7	1	 D13	M	2599.13
7	1	 D14	M	2415.89
7	1	 D15	M	2414.09
7	1	 D16	M	2500.20
7	1	 D17	M	2490.89
7	1	 D18	M	2234.96
7	1	 D19	M	2304.34
7	1	 D20	M	2349.68
7	1	 D21	M	2441.64
7	1	 D22	M	2594.85
7	1	 D23	M	2413.79
7	1	 D24	M	2379.44
7	1	 D25	M	2500.77
7	1	 D26	M	2355.07
7	1	 D27	M	2586.60
7	1	 D28	M	2463.71
7	1	 D29	M	2424.93
7	1	 D30	M	2523.41
7	1	 D31	M	2436.48
7	1	 D32	M	2451.09
7	1	 D33	M	2359.73
7	1	 D34	M	2460.80
7	1	 D35	M	2523.34
7	1	 D36	M	2437.15
7	1	 D37	M	2565.16
7	1	 D38	M	2446.33
7	1	 D39	M	2552.66
7	1	 D40	M	2443.39
7	1	 D41	M	2468.56
7	1	 D42	M	2310.48
7	1	 D43	M	2469.52
7	1	 D44	M	2559.99
7	1	 D45	M	2257.69
7	1	 D46	M	2372.93
7	1	 D47	M	2305.08
7	1	 D48	M	2811.62
7	1	 E01	M	2753.91
7	1	 E02	M	2609.30
7	1	 E03	M	2368.68
7	1	 E04	M	2450.74
7	1	 E05	M	2577.22
7	1	 E06	M	2558.16
7	1	 E07	M	2578.24
7	1	 E08	M	2520.80
7	1	 E09	M	2577.13
7	1	 E10	M	2470.49
7	1	 E11	M	2624.02
7	1	 E12	M	2431.60
7	1	 E13	M	2445.31
7	1	 E14	M	2658.30
7	1	 E15	M	2484.32
7	1	 E16	M	2571.75
7	1	 E17	M	2380.02
7	1	 E18	M	2470.34
7	1	 E19	M	2346.53
7	1	 E20	M	2506.25
7	1	 E21	M	2454.48
7	1	 E22	M	2536.67
7	1	 E23	M	2518.41
7	1	 E24	M	2462.21
7	1	 E25	M	2502.82
7	1	 E26	M	2362.79
7	1	 E27	M	2396.56
7	1	 E28	M	2550.79
7	1	 E29	M	2399.75
7	1	 E30	M	2456.01
7	1	 E31	M	2472.70
7	1	 E32	M	2509.60
7	1	 E33	M	2316.80
7	1	 E34	M	2512.99
7	1	 E35	M	2169.25
7	1	 E36	M	2486.97
7	1	 E37	M	2406.48
7	1	 E38	M	2343.41
7	1	 E39	M	2372.33
7	1	 E40	M	2371.25
7	1	 E41	M	2452.55
7	1	 E42	M	2452.68
7	1	 E43	M	2285.86
7	1	 E44	M	2267.45
7	1	 E45	M	2219.21
7	1	 E46	M	2373.43
7	1	 E47	M	2327.09
7	1	 E48	M	2510.54
7	1	 F01	M	2512.29
7	1	 F02	M	2602.01
7	1	 F03	M	2516.51
7	1	 F04	M	2620.42
7	1	 F05	M	2450.68
7	1	 F06	M	2586.92
7	1	 F07	M	2382.69
7	1	 F08	M	2409.02
7	1	 F09	M	2622.61
7	1	 F10	M	2565.58
7	1	 F11	M	2448.65
7	1	 F12	M	2515.28
7	1	 F13	M	2473.79
7	1	 F14	M	2389.53
7	1	 F15	M	2441.24
7	1	 F16	M	2288.95
7	1	 F17	M	2659.79
7	1	 F18	M	2598.88
7	1	 F19	M	2411.36
7	1	 F20	M	2655.36
7	1	 F21	M	2477.25
7	1	 F22	M	2596.96
7	1	 F23	M	2427.77
7	1	 F24	M	2533.83
7	1	 F25	M	2391.35
7	1	 F26	M	2427.71
7	1	 F27	M	2527.35
7	1	 F28	M	2672.09
7	1	 F29	M	2689.03
7	1	 F30	M	2419.87
7	1	 F31	M	2437.22
7	1	 F32	M	2381.09
7	1	 F33	M	2388.33
7	1	 F34	M	2461.96
7	1	 F35	M	2516.37
7	1	 F36	M	2434.12
7	1	 F37	M	2399.47
7	1	 F38	M	2268.64
7	1	 F39	M	2279.24
7	1	 F40	M	2503.29
7	1	 F41	M	2388.13
7	1	 F42	M	2416.04
7	1	 F43	M	2221.05
7	1	 F44	M	2282.66
7	1	 F45	M	2393.65
7	1	 F46	M	2463.18
7	1	 F47	M	2308.22
7	1	 F48	M	2368.35
7	1	 G01	M	2407.57
7	1	 G02	M	2394.27
7	1	 G03	M	2469.28
7	1	 G04	M	2595.56
7	1	 G05	M	2418.97
7	1	 G06	M	2495.65
7	1	 G07	M	2421.94
7	1	 G08	M	2341.25
7	1	 G09	M	2418.97
7	1	 G10	M	2366.41
7	1	 G11	M	2530.57
7	1	 G12	M	2623.71
7	1	 G13	M	2590.41
7	1	 G14	M	2582.86
7	1	 G15	M	2407.08
7	1	 G16	M	2341.97
7	1	 G17	M	2477.39
7	1	 G18	M	2553.25
7	1	 G19	M	2413.93
7	1	 G20	M	2533.60
7	1	 G21	M	2474.76
7	1	 G22	M	2343.99
7	1	 G23	M	2432.11
7	1	 G24	M	2394.97
7	1	 G25	M	2534.02
7	1	 G26	M	2257.38
7	1	 G27	M	2350.21
7	1	 G28	M	2403.31
7	1	 G29	M	2378.65
7	1	 G30	M	2567.62
7	1	 G31	M	2580.39
7	1	 G32	M	2537.51
7	1	 G33	M	2560.72
7	1	 G34	M	2588.58
7	1	 G35	M	2611.12
7	1	 G36	M	2425.48
7	1	 G37	M	2400.37
7	1	 G38	M	2560.13
7	1	 G39	M	2293.63
7	1	 G40	M	2358.77
7	1	 G41	M	2225.39
7	1	 G42	M	2231.72
7	1	 G43	M	2373.53
7	1	 G44	M	2436.33
7	1	 G45	M	2279.00
7	1	 G46	M	2198.32
7	1	 G47	M	2500.53
7	1	 G48	M	2401.99
7	1	 H01	M	2421.07
7	1	 H02	M	2447.34
7	1	 H03	M	2419.56
7	1	 H04	M	2314.96
7	1	 H05	M	2628.33
7	1	 H06	M	2414.22
7	1	 H07	M	2522.02
7	1	 H08	M	2318.30
7	1	 H09	M	2400.41
7	1	 H10	M	2551.55
7	1	 H11	M	2497.60
7	1	 H12	M	2364.69
7	1	 H13	M	2547.55
7	1	 H14	M	2400.19
7	1	 H15	M	2394.03
7	1	 H16	M	2573.21
7	1	 H17	M	2449.47
7	1	 H18	M	2407.59
7	1	 H19	M	2502.83
7	1	 H20	M	2545.20
7	1	 H21	M	2362.99
7	1	 H22	M	2445.01
7	1	 H23	M	2479.49
7	1	 H24	M	2316.11
7	1	 H25	M	2415.99
7	1	 H26	M	2450.33
7	1	 H27	M	2534.08
7	1	 H28	M	2453.10
7	1	 H29	M	2454.93
7	1	 H30	M	2419.74
7	1	 H31	M	2474.91
7	1	 H32	M	2571.19
7	1	 H33	M	2468.13
7	1	 H34	M	2624.59
7	1	 H35	M	2464.74
7	1	 H36	M	2442.75
7	1	 H37	M	2371.14
7	1	 H38	M	2334.45
7	1	 H39	M	2297.08
7	1	 H40	M	2300.10
7	1	 H41	M	2323.81
7	1	 H42	M	2398.66
7	1	 H43	M	2417.85
7	1	 H44	M	2247.82
7	1	 H45	M	2469.86
7	1	 H46	M	2203.45
7	1	 H47	M	2381.44
7	1	 H48	M	2474.57
7	1	 I01	M	2540.69
7	1	 I02	M	2615.54
7	1	 I03	M	2290.80
7	1	 I04	M	2403.82
7	1	 I05	M	2523.52
7	1	 I06	M	2447.64
7	1	 I07	M	2474.26
7	1	 I08	M	2452.15
7	1	 I09	M	2429.95
7	1	 I10	M	2653.48
7	1	 I11	M	2533.66
7	1	 I12	M	2379.01
7	1	 I13	M	2532.31
7	1	 I14	M	2335.74
7	1	 I15	M	2556.71
7	1	 I16	M	2324.40
7	1	 I17	M	2627.76
7	1	 I18	M	2419.67
7	1	 I19	M	2474.38
7	1	 I20	M	2410.01
7	1	 I21	M	2399.87
7	1	 I22	M	2388.04
7	1	 I23	M	2438.17
7	1	 I24	M	2463.51
7	1	 I25	M	2528.07
7	1	 I26	M	2657.72
7	1	 I27	M	2712.61
7	1	 I28	M	2481.74
7	1	 I29	M	2500.10
7	1	 I30	M	2408.32
7	1	 I31	M	2556.46
7	1	 I32	M	2716.88
7	1	 I33	M	2480.79
7	1	 I34	M	2439.56
7	1	 I35	M	2333.39
7	1	 I36	M	2304.56
7	1	 I37	M	2329.90
7	1	 I38	M	2371.87
7	1	 I39	M	2396.02
7	1	 I40	M	2455.78
7	1	 I41	M	2369.78
7	1	 I42	M	2259.17
7	1	 I43	M	2324.35
7	1	 I44	M	2362.06
7	1	 I45	M	2342.68
7	1	 I46	M	2456.13
7	1	 I47	M	2441.16
7	1	 I48	M	2506.14
7	1	 J01	M	2567.75
7	1	 J02	M	2535.38
7	1	 J03	M	2217.99
7	1	 J04	M	2566.44
7	1	 J05	M	2435.09
7	1	 J06	M	2430.70
7	1	 J07	M	2330.11
7	1	 J08	M	2444.92
